key,problem,area,character,size_class,people,elapsed_days,person_days,on_task_fraction,fraction_basis,pages,record_type,assisted,used_in_fit,span_start,span_end,span_evidence,source
erdos728-writeup,Erdos 728 write-up of a Lean proof,number theory,write-up,medium,1,28,28,0.30,assumed,20,timeline,ai,yes,2025-12-30,2026-01-26,"AI resolution January 2026; arXiv 2601.07421 v1 12 Jan 2026 through v5 26 Jan 2026",https://arxiv.org/abs/2601.07421
bunkbed,Bunkbed conjecture is false,combinatorics,counterexample,short,3,105,315,0.20,assumed,12,timeline,no,yes,2024-06-20,2024-10-03,"Quanta: Hollom's hypergraph counterexample published June 2024; Gladkov read it that evening and phoned Zimin the next day; arXiv 2410.02545 v1 3 Oct 2024",https://arxiv.org/abs/2410.02545
polymath1-dhj,Density Hales-Jewett theorem (Polymath1),combinatorics,structural theorem,medium,27,37,999,0.08,pointed,34,direct,no,yes,2009-02-01,2009-03-10,"Gowers and Nielsen in Nature: just 37 days had passed since the collaboration began and 27 people had contributed approximately 800 mathematical comments containing 170000 words",https://www.nature.com/articles/461879a
cgms-ramsey,Exponential improvement for diagonal Ramsey,combinatorics,structural theorem,large,4,1673,5797,0.25,assumed,59,timeline,no,yes,2018-08-01,2023-03-16,"Quanta: in August 2018 Sahasrabudhe was a postdoctoral fellow under Morris at IMPA; Campos joined the project in 2021; arXiv 2303.09521 16 Mar 2023. person_days is 3 people to 2021-01-01 then 4",https://arxiv.org/abs/2303.09521
cairo-mizohata,Mizohata-Takeuchi counterexample,analysis,counterexample,medium,1,150,150,0.25,assumed,15,timeline,no,yes,2024-09-13,2025-02-10,"Scientific American: Cairo got hooked after being assigned a simpler version as homework for a Berkeley class (autumn 2024 term); arXiv 2502.06137 v1 10 Feb 2025",https://arxiv.org/abs/2502.06137
degrey-chromatic,Chromatic number of the plane is at least 5,geometry,construction,short,1,109,109,0.15,pointed,11,timeline,no,yes,2017-12-20,2018-04-08,"Quanta: over Christmas last year he had a chance to do that; arXiv 1804.02385 v1 8 Apr 2018. Full-time job in a different field",https://arxiv.org/abs/1804.02385
kakeya-r3,Kakeya set conjecture in R3,analysis,structural theorem,large,2,860,1720,0.30,assumed,127,timeline,no,yes,2022-10-18,2025-02-24,"arXiv 2210.09581 v1 18 Oct 2022 (sticky Kakeya) to arXiv 2502.17655 v1 24 Feb 2025",https://arxiv.org/abs/2502.17655
boltzmann-dhm,Long-time derivation of the Boltzmann equation,analysis,structural theorem,large,3,273,819,0.55,pointed,192,timeline,no,yes,2023-11-15,2024-08-14,"Deng-Hani November 2023 preprint announcing the forthcoming extension of Lanford's theorem to arXiv 2408.07818 v1 14 Aug 2024. Hani (Quanta 11 Jun 2025) describes constant video calls some very late at night or very early in the morning over a process that takes months",https://arxiv.org/abs/2408.07818
chen-hou-euler,Smooth-data 2D Boussinesq and 3D Euler blowup,analysis,structural theorem,large,2,1108,2216,0.35,assumed,184,timeline,no,yes,2019-10-01,2022-10-13,"arXiv 1910.00173 v1 1 Oct 2019 (the C^{1,alpha} theorem) to arXiv 2210.07191 v1 13 Oct 2022",https://arxiv.org/abs/2210.07191
alpoge-buckmaster,Euler blowup with smooth forcing,analysis,structural theorem,large,2,330,660,0.35,assumed,,timeline,ai,no,2025-09-19,2026-08-15,"Alpoge's email to Buckmaster 19 Sep 2025 opened the collaboration; results obtained 15 Aug 2026. Heavily AI-assisted per Tao 7 Sep 2026, so biased low as a measure of unassisted time",https://en.wikipedia.org/wiki/Navier%E2%80%93Stokes_priority_controversy
wiles-flt,Fermat's Last Theorem,number theory,programme,large,1,2957,3357,0.564,assumed,129,timeline,no,yes,1986-06-01,1994-10-06,"Ribet's 1986 link to Taniyama-Shimura to the Cambridge lectures of 23 Jun 1993 (2557 days solo) then about 400 days of Taylor-Wiles to Oct 1994. person_days is 1x2557 at 0.60 plus 2x400 at 0.45 recombined at a single 0.58",https://en.wikipedia.org/wiki/Wiles%27s_proof_of_Fermat%27s_Last_Theorem
zhang-gaps,Bounded gaps between primes,number theory,structural theorem,large,1,1021,1021,0.50,assumed,54,timeline,no,yes,2010-07-01,2013-04-17,"Quanta and IAS: Zhang began to work on bounded gaps in 2010; the breakthrough came in summer 2012; eight months refining plus two months reviewing; Annals received 17 Apr 2013",https://www.quantamagazine.org/yitang-zhang-proves-landmark-theorem-in-distribution-of-prime-numbers-20130519/
baek-sofa,Optimality of Gerver's sofa,geometry,structural theorem,large,1,2800,2800,0.20,assumed,119,timeline,no,yes,2017-03-01,2024-11-29,"Scientific American: after seven years of work; Baek wrote his PhD thesis on the problem; arXiv 2411.19826 v1 29 Nov 2024",https://arxiv.org/abs/2411.19826
hales-kepler,Kepler conjecture (informal proof),geometry,programme,large,2,1670,3340,0.45,assumed,121,timeline,no,yes,1994-01-01,1998-08-09,"Hales began the programme in 1994 with graduate student Sam Ferguson; the proof was announced 9 Aug 1998; Annals 162 (2005) 1065-1185",https://annals.math.princeton.edu/2005/162-3/p01
perelman-poincare,Poincare and geometrization,geometry,programme,large,1,2871,2871,0.50,assumed,68,timeline,no,no,1995-01-01,2002-11-11,"Three preprints math/0211159 (39 pp 11 Nov 2002) math/0303109 (22 pp 10 Mar 2003) math/0307245 (7 pp 17 Jul 2003). No published statement of his time allocation exists so the fraction has no basis and this row is reported not used",https://arxiv.org/abs/math/0211159
viazovska-d8,Sphere packing in dimension 8,geometry,structural theorem,medium,1,365,365,0.45,assumed,22,timeline,no,no,2015-03-14,2016-03-14,"Radchenko: it took us more than a year of hard work until the solution was complete in dimension eight. The quote is about the team's joint programme not Viazovska's solo window so the start date is inferred and this row is reported not used",https://arxiv.org/abs/1603.04246
erdos848,Erdos problem 848,combinatorics,structural theorem,short,2,39,78,0.20,assumed,,timeline,ai,yes,2025-10-12,2025-11-20,"erdosproblems AI wiki: Mehtaab Sawhney and Mark Sellke with GPT-5, 12 Oct - 20 Nov 2025, full solution",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
erdos347,Erdos problem 347,number theory,structural theorem,short,5,102,510,0.08,assumed,,timeline,ai,yes,2025-10-25,2026-02-04,"erdosproblems AI wiki: Barschkis, van Doorn, jbbaehr22, Naskrecki, Tao with Aristotle/Claude/Codex/GPT, 25 Oct 2025 - 4 Feb 2026, full solution in Lean",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
erdos326,Erdos problem 326,combinatorics,short argument,short,1,25,25,0.20,assumed,,timeline,ai,yes,2026-05-20,2026-06-14,"erdosproblems AI wiki: Aron Bhalla with Aristotle/Codex/GPT-5.5, 20 May - 14 Jun 2026, full solution in Lean",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
erdos696,Erdos problem 696,combinatorics,short argument,short,2,40,80,0.15,assumed,,timeline,ai,yes,2026-04-26,2026-06-05,"erdosproblems AI wiki: Jake Mallen and David Turturean, 26 Apr - 5 Jun 2026, full solution in Lean",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
erdos1148,Erdos problem 1148,number theory,short argument,short,3,51,153,0.10,assumed,,timeline,ai,yes,2026-01-24,2026-03-16,"erdosproblems AI wiki: Althofer, Chojecki, van Doorn, 24 Jan - 16 Mar 2026, full solution",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
erdos986,Erdos problem 986,combinatorics,short argument,short,1,20,20,0.25,assumed,,timeline,ai,yes,2026-05-27,2026-06-16,"erdosproblems AI wiki: Domagoj Bradac with Claude and an OpenAI internal model, 27 May - 16 Jun 2026, full solution",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
erdos1153,Erdos problem 1153,combinatorics,short argument,short,3,50,150,0.10,assumed,,timeline,ai,yes,2026-02-02,2026-03-24,"erdosproblems AI wiki: Bhalla, Sothanaphan, Tao with AlphaEvolve/Claude/Gemini/GPT, 2 Feb - 24 Mar 2026, full solution",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
erdos90-bound,Erdos problem 90 improved explicit bound,combinatorics,short argument,short,12,19,228,0.06,assumed,,timeline,ai,yes,2026-05-21,2026-06-09,"erdosproblems AI wiki: twelve named humans with GPT-5.5 Pro, 21 May - 9 Jun 2026, improved explicit bound",https://github.com/teorth/erdosproblems/wiki/AI-contributions-to-Erd%C5%91s-problems
duffin-schaeffer,Duffin-Schaeffer conjecture,number theory,structural theorem,large,2,730,1460,0.30,assumed,46,timeline,no,no,2017-07-10,2019-07-10,"arXiv 1907.04593 v1 10 Jul 2019, 46 pages. The two-year window is my inference from the absence of a dated start and this row is reported not used",https://arxiv.org/abs/1907.04593
