point_id,old_value,new_value,basis
work-gdpval-05389f78-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0818571f-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0818571f-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0e4fe8cd-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0e4fe8cd-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0ec25916-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0ec25916-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0ed38524-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0ed38524-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0fad6023-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0fad6023-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-105f8ad0-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-105f8ad0-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1137e2bb-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1137e2bb-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-11593a50-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-11593a50-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-116e791e-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-116e791e-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-11e1b169-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-11e1b169-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-15ddd28d-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-15ddd28d-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-17111c03-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-17111c03-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1752cb53-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1752cb53-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-19403010-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-19403010-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1a78e076-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1a78e076-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1aecc095-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1aecc095-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1b1ade2d-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1b1ade2d-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1b9ec237-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1b9ec237-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1bff4551-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1bff4551-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
lang-epoch-simpleqa-dsv32,assumed,llm_estimate_judgment,"The three-minute value is the builder's assumption from inspecting the first 20 questions, explicitly not a measured annotation average."
lang-epoch-simpleqa-gptoss120b,assumed,llm_estimate_judgment,"The three-minute value is the builder's assumption from inspecting the first 20 questions, explicitly not a measured annotation average."
lang-epoch-simpleqa-qwen3thinking,assumed,llm_estimate_judgment,"The three-minute value is the builder's assumption from inspecting the first 20 questions, explicitly not a measured annotation average."
reas-epoch-mathl5-llama3-70b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-qwen25-32b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-v3-0324,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-llama3-70b,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-otis-qwen25-32b,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-otis-v3-0324,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
lang-epoch-simpleqa-opus46,assumed,llm_estimate_judgment,"The three-minute value is the builder's assumption from inspecting the first 20 questions, explicitly not a measured annotation average."
lang-epoch-simpleqa-opus46-32k,assumed,llm_estimate_judgment,"The three-minute value is the builder's assumption from inspecting the first 20 questions, explicitly not a measured annotation average."
lang-epoch-simpleqa-opus46-max,assumed,llm_estimate_judgment,"The three-minute value is the builder's assumption from inspecting the first 20 questions, explicitly not a measured annotation average."
reas-epoch-otis-dsv32,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-otis-gptoss120b,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-otis-opus46-32k,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-otis-opus46-64k,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-otis-qwen3thinking,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
work-gdpval-1e5a1d7f-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-1e5a1d7f-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-211d0093-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-211d0093-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-22c0809b-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-22c0809b-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-24d1e93f-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-24d1e93f-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2696757c-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2696757c-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-27e8912c-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-27e8912c-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2d06bc0a-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2d06bc0a-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2ea2e5b5-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2ea2e5b5-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2fa8e956-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-2fa8e956-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-327fbc21-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-327fbc21-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3600de06-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3600de06-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-36d567ba-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-36d567ba-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-38889c3b-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-38889c3b-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3940b7e7-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3940b7e7-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3a4c347c-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3a4c347c-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3baa0009-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3baa0009-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3c19c6d1-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3c19c6d1-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3f625cb2-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-3f625cb2-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
robo-shrimp-aloha,assumed,llm_estimate_judgment,The note states the duration is the builder's own estimate with no measured timing donor and no source-published duration.
robo-grasp-dexnet,assumed,llm_estimate_judgment,The note states the duration is the builder's own estimate with no measured timing donor and no source-published duration.
reas-epoch-mathl5-llama2-70b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-llama3-8b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-llama3-8b,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-llama31-8b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-llama31-70b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-llama31-405b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-llama33-70b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-llama33-70b,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-llama4-scout,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-llama4-scout,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-llama4-maverick,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-llama4-maverick,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-qwen2-72b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-qwen25-72b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-qwen25-72b,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-ds67b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-v3,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-v3,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-r1,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-r1distill70b,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-r1distill70b,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-phi3-medium,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-mathl5-phi4,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
reas-epoch-otis-phi4,assumed,defined_duration,"Coordinator ruling 2026-09-13: the source defines a 3-hour mock AIME allowance for 15 questions; the 720 s per question apportions that window equally, so the duration is fixed by the work unit rather than estimated. Formerly classed llm_estimate_judgment by the relabel pass."
reas-epoch-mathl5-dbrx,assumed,llm_estimate_judgment,An explicitly assumed 600-second active-effort budget chosen by the builder for an IMO-gold-level solver; the note rejects the MATH paper's timed session as a bad transfer.
perc-lipread-lipnet,assumed,llm_estimate_judgment,The note states the duration is the builder's own estimate with no measured timing donor and no source-published duration.
work-gdpval-0e386e32-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0e386e32-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-11dcc268-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-11dcc268-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-15d37511-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-15d37511-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
