point_id,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,evidence
agen-metr3-acdcbug-oss120b,0.387480,reported,2025-09-30,,not_available,"METR reports generation_cost per run; mean over the 6 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-acdcbug-oss120b. Blended 0.0478 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-claude35s,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 3 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-claude35s. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-claude37,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-claude37. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-dsr1,0.200864,reported,2025-06-18,,not_available,"METR reports generation_cost per run; mean over the 8 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/point-sections.md#agen-metr3-atariepochs-dsr1. Blended 1.3853 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-gemini3,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-gemini3. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-gpt3dv,0.512997,reported,2024-12-24,,not_available,"METR reports generation_cost per run; mean over the 8 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-gpt3dv. Blended 2.0000 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-gpt4,99.897531,reported,2024-12-14,,not_available,"METR reports generation_cost per run; mean over the 7 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-gpt4. Blended 60.4630 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-gpt4o,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-gpt4o. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-gpt5,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-gpt5. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-gpt53codex,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 8 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-gpt53codex. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-o1,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-o1. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-opus46,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 6 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-atariepochs-opus46. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-atariepochs-oss120b,0.047666,reported,2025-09-30,,not_available,"METR reports generation_cost per run; mean over the 6 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/point-sections.md#agen-metr3-atariepochs-oss120b. Blended 0.0601 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-claude35s,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-claude35s. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-claude37,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-claude37. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-dsr1,0.481928,reported,2025-06-18,,not_available,"METR reports generation_cost per run; mean over the 8 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/point-sections.md#agen-metr3-blackboxapple-dsr1. Blended 1.4464 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-gemini3,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-gemini3. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-gpt3dv,0.956607,reported,2024-12-25,,not_available,"METR reports generation_cost per run; mean over the 21 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-gpt3dv. Blended 2.0000 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-gpt4,34.358980,reported,2025-06-03,,not_available,"METR reports generation_cost per run; mean over the 6 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-gpt4. Blended 60.5542 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-gpt4o,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-gpt4o. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-gpt5,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-gpt5. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-gpt53codex,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 6 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-gpt53codex. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-o1,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-o1. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-opus46,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 6 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxapple-opus46. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxapple-oss120b,0.016484,reported,2025-09-29,,not_available,"METR reports generation_cost per run; mean over the 6 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/point-sections.md#agen-metr3-blackboxapple-oss120b. Blended 0.0736 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-claude35s,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-claude35s. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-claude37,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-claude37. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-dsr1,1.149095,reported,2025-06-18,,not_available,"METR reports generation_cost per run; mean over the 8 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/point-sections.md#agen-metr3-blackboxcharm-dsr1. Blended 1.4707 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-gemini3,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-gemini3. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-gpt3dv,1.488873,reported,2024-12-25,,not_available,"METR reports generation_cost per run; mean over the 21 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-gpt3dv. Blended 2.0000 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-gpt4,40.280520,reported,2025-06-03,,not_available,"METR reports generation_cost per run; mean over the 6 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-gpt4. Blended 60.6161 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-gpt4o,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-gpt4o. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-gpt5,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-gpt5. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-gpt53codex,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 6 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-gpt53codex. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-o1,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-o1. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-opus46,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 6 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-blackboxcharm-opus46. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-blackboxcharm-oss120b,0.044127,reported,2025-09-29,,not_available,"METR reports generation_cost per run; mean over the 6 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/point-sections.md#agen-metr3-blackboxcharm-oss120b. Blended 0.0606 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-broccollatz-claude35s,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-broccollatz-claude35s. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-broccollatz-claude37,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-broccollatz-claude37. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-broccollatz-dsr1,5.611555,reported,2025-06-18,,not_available,"METR reports generation_cost per run; mean over the 8 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/point-sections.md#agen-metr3-broccollatz-dsr1. Blended 1.0616 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-broccollatz-gemini3,,not_available,,,not_available,"METR reports generation_cost 0.0 on all 4 runs: the TH1.1 Inspect importer leaves cost unset. tokens_count is an undecomposed source_total that includes cache reads and writes (research/metr/cache-accounting.md), so no input/output split is published and any list-price figure would be an estimate. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-1/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-broccollatz-gemini3. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
agen-metr3-broccollatz-gpt3dv,0.603585,reported,2025-01-18,,not_available,"METR reports generation_cost per run; mean over the 16 runs of this task/model, the same run set and statistic as compute_flops. agent-work/sources/metr/eval-analysis-public/reports/time-horizon-1-0/data/raw/runs.jsonl @52cb829; run set research/metr/metr-expanded-records.jsonl#agen-metr3-broccollatz-gpt3dv. Blended 2.0000 USD/M native tokens. human_cost in the same release is human_minutes x 143.61 USD/h on every run in both exports, a wage derivation barred by COLUMNS.md"
