model_id,model_release_date,model_release_source,basis
anymal-perceptive-2022,2022-01-20,"https://arxiv.org/abs/2201.08117v1 (research artefact; arXiv v1 submission used as the release date, earlier than the Science Robotics issue); research/model-release-dates/README.md","Miki et al., Learning robust perceptive locomotion for quadrupedal robots in the wild, arXiv v1 2022-01-20. The Science Robotics issue (doi 10.1126/scirobotics.abk2822) is dated 2022-01-26 in Crossref, so the preprint is the earlier public appearance."
gnome-structural-ensemble,2023-11-29,"https://www.nature.com/articles/s41586-023-06735-9 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Merchant et al., Scaling deep learning for materials discovery, Nature 624, 80-85. Crossref published-online 2023-11-29."
dactyl-adr-xxl-vision,2019-10-16,https://arxiv.org/abs/1910.07113v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"OpenAI, Solving Rubik's Cube with a Robot Hand, arXiv v1 2019-10-16. OpenAI's own announcement page could not be retrieved (openai.com blocks automated requests), so the preprint date is used."
rt2-pali-x-55b,2023-07-28,https://arxiv.org/abs/2307.15818v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Brohan et al., RT-2, arXiv v1 2023-07-28. Weights were not released."
helix-s1-logistics-60h,2025-06-07,https://www.figure.ai/news/scaling-helix-logistics (Figure AI announcement of the 60-hour logistics model; datePublished 2025-06-07); research/model-release-dates/README.md,"The 60-hour stereo/memory/feedback variant is the model reported in Figure's June 2025 logistics evaluation, whose page metadata gives 2025-06-07. The earlier logistics post (2025-02-26) describes a different model."
retrodfmr-8b-2025,2025-07-23,https://arxiv.org/abs/2507.17448v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Chen et al., RetroDFM-R, arXiv v1 2025-07-23. The record covers the original 2025 configuration, not later repository revisions."
pr2-geometric-towel-2010,2010-05-03,"https://doi.org/10.1109/ROBOT.2010.5509439 (Maitin-Shepard et al., ICRA 2010, the paper this policy appears in; Crossref dates the publication 2010-05 without a day and the proceedings' conference 2010-05-03 to 2010-05-07, so the first proceedings day is used); research/model-release-dates/README.md","Month-only publication, resolved under the 2026-09-14 ruling. Maitin-Shepard et al., ICRA 2010 (doi 10.1109/ROBOT.2010.5509439). Crossref gives published-print 2010-05 with no day, but its event metadata dates the proceedings' conference 2010-05-03 to 2010-05-07, so the first proceedings day is used rather than the first of the month."
pi0-base-700k-2024,2024-10-31,https://arxiv.org/abs/2410.24164v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Black et al., pi0: A Vision-Language-Action Flow Model for General Robot Control, arXiv v1 2024-10-31. The record is the original 700k-step evaluation model, before the later open-weights release."
table-tennis-dambrosio2024,2024-08-07,https://arxiv.org/abs/2408.03906v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"D'Ambrosio et al., Achieving Human Level Competitive Robot Table Tennis, arXiv v1 2024-08-07, which matches the date already recorded in the model's notes."
srt-h-2025,2025-05-15,https://arxiv.org/abs/2505.10251v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Kim et al., SRT-H: A Hierarchical Framework for Autonomous Surgery via Language Conditioned Imitation Learning, arXiv v1 2025-05-15. No weight release is stated."
monorace-racing-system,2026-01-21,https://arxiv.org/abs/2601.15222v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"MonoRace: Winning Champion-Level Drone Racing with Robust Monocular AI, arXiv v1 2026-01-21. No weights or code release is stated, so the paper dates the competition configuration."
efficientzero-atari-2021,2021-10-30,https://arxiv.org/abs/2111.00210v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Ye et al., Mastering Atari Games with Limited Data, arXiv v1 2021-10-30."
alphazero-chess-2017,2017-12-05,https://arxiv.org/abs/1712.01815v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Silver et al., Mastering Chess and Shogi by Self-Play, arXiv v1 2017-12-05."
muzero-atari-standard,2019-11-19,https://arxiv.org/abs/1911.08265v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Schrittwieser et al., MuZero, arXiv v1 2019-11-19."
gt-fuchs2020-setting-a,2020-08-18,https://arxiv.org/abs/2008.07971v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Fuchs et al., Super-Human Performance in Gran Turismo Sport Using Deep Reinforcement Learning, arXiv v1 2020-08-18."
gt-sophy-october2021,2022-02-09,"https://www.nature.com/articles/s41586-021-04357-7 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Wurman et al., Outracing champion Gran Turismo drivers with deep reinforcement learning, Nature 602, 223-228. Crossref published-online 2022-02-09, which is the first public description of the October 2021 racing policy; the races themselves were not public events."
gt-sophy-july2021-time-trial,2022-02-09,"https://www.nature.com/articles/s41586-021-04357-7 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Wurman et al., Outracing champion Gran Turismo drivers with deep reinforcement learning, Nature 602, 223-228. Crossref published-online 2022-02-09, which is the first public description of the July 2021 time-trial policy; the races themselves were not public events."
alphago-zero-20block-3day,2017-10-19,"https://www.nature.com/articles/nature24270 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Silver et al., Mastering the game of Go without human knowledge, Nature 550, 354-359. Nature's article page carries datePublished 2017-10-19 and Crossref agrees. Neither network was released."
alphago-zero-40block-40day,2017-10-19,"https://www.nature.com/articles/nature24270 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Silver et al., Mastering the game of Go without human knowledge, Nature 550, 354-359. Nature's article page carries datePublished 2017-10-19 and Crossref agrees. Neither network was released."
alphastar-final-2019,2019-10-30,"https://www.nature.com/articles/s41586-019-1724-z (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Vinyals et al., Grandmaster level in StarCraft II, Nature 575, 350-354. Crossref published-online 2019-10-30. The final policies were not distributed."
openai-five-finals-2019,2019-04-13,https://arxiv.org/abs/1912.06680v1 (paper documenting the 13 April 2019 Finals match this checkpoint played; the checkpoint itself was never distributed); research/model-release-dates/README.md,"The record is named for the checkpoint that beat OG on 2019-04-13, the date it was publicly exercised at the OpenAI Five Finals. OpenAI's own Finals page could not be retrieved (openai.com blocks automated requests); the Dota 2 paper documents the match date. The paper itself is later (arXiv v1 2019-12-13)."
ora-resnet-mnist,2024-06-13,"https://doi.org/10.1371/journal.pcbi.1012159 (PLOS Computational Biology publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Ahn, Adeli and Zelinsky, The attentive reconstruction of objects facilitates robust object recognition, PLoS Comput Biol. Crossref and NCBI both give 2024-06-13; no preprint was found."
chexnet-pneumonia-2017-v1,2017-11-14,https://arxiv.org/abs/1711.05225v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Rajpurkar et al., CheXNet, arXiv v1 2017-11-14. The record is explicitly the original v1 model."
facenet-nn1,2015-03-12,https://arxiv.org/abs/1503.03832v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Schroff, Kalenichenko and Philbin, FaceNet, arXiv v1 2015-03-12. The evaluated weights were not released."
arcface-ms1mv2-r100,2018-01-23,https://arxiv.org/abs/1801.07698v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng et al., ArcFace, arXiv v1 2018-01-23; the CVPR 2019 proceedings version is later. The MS1MV2 ResNet100 configuration is the paper's, and the InsightFace model zoo gives no dated first publication for the exact weights."
esteva-skin-inception-v3,2017-01-25,"https://www.nature.com/articles/nature21056 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Esteva et al., Dermatologist-level classification of skin cancer with deep neural networks, Nature 542, 115-118. Crossref published-online 2017-01-25."
gulshan-dr-inception-v3-ensemble,2016-12-13,"https://doi.org/10.1001/jama.2016.17216 (JAMA publication date; research artefact, paper date used as the release date); research/model-release-dates/README.md","Gulshan et al., JAMA 316(22):2402-2410. Crossref and PubMed both give 2016-12-13. JAMA's own article page, which would carry any online-first date, blocks automated requests, so the journal publication date is used."
mckinney-mammography-ensemble-2020,2020-01-01,"https://www.nature.com/articles/s41586-019-1799-6 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","McKinney et al., International evaluation of an AI system for breast cancer screening, Nature 577, 89-94. Crossref published-online 2020-01-01."
ecapa-tdnn-original-c1024,2020-05-14,https://arxiv.org/abs/2005.07143v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Desplanques, Thienpondt and Demuynck, ECAPA-TDNN, arXiv v1 2020-05-14. The record is the original C=1024 configuration."
pigeon-cvpr2024,2023-07-11,https://arxiv.org/abs/2307.05845v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Haas, Skreta and Alberti, PIGEON: Predicting Image Geolocations, arXiv v1 2023-07-11; the CVPR 2024 version is later. Trained weights were never released."
nvidia-dave2-2016,2016-04-25,https://arxiv.org/abs/1604.07316v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Bojarski et al., End to End Learning for Self-Driving Cars, arXiv v1 2016-04-25. No checkpoint release was established."
gulordava-english-lstm-650,2018-03-29,https://arxiv.org/abs/1803.11138v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Gulordava et al., Colorless green recurrent networks dream hierarchically, arXiv v1 2018-03-29 (NAACL 2018). The trained LSTMs are distributed through facebookresearch/colorlessgreenRNNs, whose repository was created 2017-12-11, before the weights were announced; the paper date is the defensible one."
lenet-5-original,1998-11-01,"https://doi.org/10.1109/5.726791 (LeCun et al., Proc. IEEE 86(11), the paper this artefact appears in; the issue is dated November 1998 and no record gives a day, so the first of the month is used); research/model-release-dates/README.md","Month-only publication, resolved under the 2026-09-14 ruling. LeCun et al., Gradient-based learning applied to document recognition, Proc. IEEE 86(11), 2278-2324. Crossref records only 1998 and IEEE Xplore only the November 1998 issue, so no record gives a day and the first of the month is used. The weights were never distributed; the paper dates the capability."
open-mistral-7b,2023-09-27,https://mistral.ai/news/announcing-mistral-7b (Mistral AI announcement; datePublished 2023-09-27); research/model-release-dates/README.md,"The record's coefficient is the original 7.3B Mistral 7B weights, released with Mistral's 2023-09-27 announcement. The API alias itself carries no separate weight revision, so the underlying model's release dates it."
codex-300m-research,2021-07-07,https://arxiv.org/abs/2107.03374v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Chen et al., Evaluating Large Language Models Trained on Code, arXiv v1 2021-07-07. These research sizes were never released; the paper is their only publication."
codex-2-5b-research,2021-07-07,https://arxiv.org/abs/2107.03374v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Chen et al., Evaluating Large Language Models Trained on Code, arXiv v1 2021-07-07. These research sizes were never released; the paper is their only publication."
codex-12b-research,2021-07-07,https://arxiv.org/abs/2107.03374v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Chen et al., Evaluating Large Language Models Trained on Code, arXiv v1 2021-07-07. These research sizes were never released; the paper is their only publication."
code-llama-7b-kexer,2024-05-21,"https://huggingface.co/JetBrains/CodeLlama-7B-Kexer/commit/006a464843ae4a4ec11205ce14d60b4a59277e03 (first commit publishing the weights, 2024-05-21); research/model-release-dates/README.md",The JetBrains repository's initial commit uploads the weights on 2024-05-21; the repository record was created 2024-05-13 and the Kotlin ML Pack report is later (arXiv v1 2024-05-29).
multipl-t-starcoder-1b-ocaml,2023-08-14,"https://huggingface.co/nuprl/MultiPL-T-StarCoderBase_1b/commit/e8a24f9e2149cbda8c3cca264a53c2b361b7a031 (commit publishing the selected epoch-6 OCaml revision, 2023-08-14); research/model-release-dates/README.md","The research note pins revision e8a24f9e; that commit ('ocaml_full_1b-epoch6') was pushed to the public repository on 2023-08-14, four days after the repository was created. This supersedes the note's statement that no first-public date was established."
multipl-t-starcoder-15b-ocaml,2023-08-14,"https://huggingface.co/nuprl/MultiPL-T-StarCoderBase_15b/commit/e7babda985786810707200ff885df6105de7dc56 (commit publishing the selected epoch-4 OCaml revision, 2023-08-14); research/model-release-dates/README.md","The research note pins revision e7babda9 ('model_starcoder15b_ocaml_paper-epoch4'), pushed to the public repository on 2023-08-14."
multipl-t-starcoder-15b-racket,2023-08-12,"https://huggingface.co/nuprl/MultiPL-T-StarCoderBase_15b/commit/f0c77c06482f436f469007f20d731cb9dd73d609 (commit publishing the selected epoch-8 Racket revision, 2023-08-12); research/model-release-dates/README.md","The research note pins revision f0c77c06 ('model_starcoder15b_rkt_paper-epoch8'), pushed to the public repository on 2023-08-12."
implicit-cot-gpt2-mult11,2024-05-23,https://arxiv.org/abs/2405.14838v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng, Choi and Shieber, From Explicit CoT to Implicit CoT, arXiv v1 2024-05-23; the fine-tunes are the paper's artefacts and their first public checkpoint day is not separately established."
implicit-cot-gpt2-mult4,2024-05-23,https://arxiv.org/abs/2405.14838v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng, Choi and Shieber, From Explicit CoT to Implicit CoT, arXiv v1 2024-05-23; the fine-tunes are the paper's artefacts and their first public checkpoint day is not separately established."
implicit-cot-gpt2-mult5,2024-05-23,https://arxiv.org/abs/2405.14838v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng, Choi and Shieber, From Explicit CoT to Implicit CoT, arXiv v1 2024-05-23; the fine-tunes are the paper's artefacts and their first public checkpoint day is not separately established."
implicit-cot-gpt2-mult7,2024-05-23,https://arxiv.org/abs/2405.14838v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng, Choi and Shieber, From Explicit CoT to Implicit CoT, arXiv v1 2024-05-23; the fine-tunes are the paper's artefacts and their first public checkpoint day is not separately established."
implicit-cot-gpt2-mult9,2024-05-23,https://arxiv.org/abs/2405.14838v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng, Choi and Shieber, From Explicit CoT to Implicit CoT, arXiv v1 2024-05-23; the fine-tunes are the paper's artefacts and their first public checkpoint day is not separately established."
implicit-cot-gpt2-gsm8k-medium,2024-05-23,https://arxiv.org/abs/2405.14838v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng, Choi and Shieber, From Explicit CoT to Implicit CoT, arXiv v1 2024-05-23; the fine-tunes are the paper's artefacts and their first public checkpoint day is not separately established."
implicit-cot-gpt2-gsm8k-small,2024-05-23,https://arxiv.org/abs/2405.14838v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Deng, Choi and Shieber, From Explicit CoT to Implicit CoT, arXiv v1 2024-05-23; the fine-tunes are the paper's artefacts and their first public checkpoint day is not separately established."
gpt-4-base-2023-report,2023-03-15,https://arxiv.org/abs/2303.08774v1 (research artefact; the technical report's arXiv v1 dates the only publication of these base weights); research/model-release-dates/README.md,"The pretraining-only model is documented only by the GPT-4 technical report, arXiv v1 2023-03-15. OpenAI's own release page could not be retrieved to check whether the report PDF appeared a day earlier."
gpt-4-2023-03-01-internal,2023-03-15,https://arxiv.org/abs/2303.08774v1 (research artefact; the technical report's arXiv v1 dates the only publication of this snapshot); research/model-release-dates/README.md,"The internal exam snapshot is identified only in the GPT-4 technical report, Appendix A.7, arXiv v1 2023-03-15. Its 2023-03-01 snapshot label is a training/evaluation date, not a publication."
gpt-4-bar-exam-preview,2023-03-15,"https://github.com/mjbommar/gpt4-passes-the-bar (study repository created 2023-03-15, the day the bar-exam paper was first posted; the endpoint itself was a pre-release GPT-4 and is undisclosed); research/model-release-dates/README.md","Katz et al., GPT-4 Passes the Bar Exam, first posted 2023-03-15; the GitHub API gives created_at 2023-03-15T01:16:40Z for the study repository. The hidden endpoint has no separate publication."
palm-540b-original,2022-04-05,https://arxiv.org/abs/2204.02311v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Chowdhery et al., PaLM, arXiv v1 2022-04-05. The research weights were never released."
minerva-62b,2022-06-29,https://arxiv.org/abs/2206.14858v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Lewkowycz et al., Solving Quantitative Reasoning Problems with Language Models, arXiv v1 2022-06-29. No public model release."
microsoft-combo6-2018,2018-03-15,https://arxiv.org/abs/1803.05567v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Hassan et al., Achieving Human Parity on Automatic Chinese to English News Translation, arXiv v1 2018-03-15; the Microsoft-hosted PDF the model record cites is from the same March 2018 publication. The ensemble was never released."
fair-negotiator-2017-likelihood,2017-06-16,https://arxiv.org/abs/1706.05125v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Lewis et al., Deal or No Deal?, arXiv v1 2017-06-16, which is the publication of the likelihood model. The facebookresearch/end-to-end-negotiator repository was created 2017-06-13, but no dated release of the trained checkpoints was established."
fair-negotiator-2017-rl,2017-06-16,https://arxiv.org/abs/1706.05125v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Lewis et al., Deal or No Deal?, arXiv v1 2017-06-16, which is the publication of the reinforcement-learned model. The facebookresearch/end-to-end-negotiator repository was created 2017-06-13, but no dated release of the trained checkpoints was established."
r2bert-base-2020,2020-11-01,"https://aclanthology.org/2020.findings-emnlp.141/ (Yang et al., Findings of EMNLP 2020, the paper this checkpoint appears in; the ACL Anthology and Crossref give November 2020 with no day, so the first of the month is used); research/model-release-dates/README.md","Month-only publication, resolved under the 2026-09-14 ruling. Yang et al., Findings of EMNLP 2020 (doi 10.18653/v1/2020.findings-emnlp.141). The ACL Anthology gives citation_publication_date 2020/11 and Crossref only 2020, with no preprint and no checkpoint release, so the first of the month is used."
alphacode-41b,2022-02-08,https://arxiv.org/abs/2203.07814v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Li et al., Competition-Level Code Generation with AlphaCode, arXiv v1 submitted 2022-02-08 (announced under a 2203 identifier). The 41B model was never released; the Science version is 2022-12-08."
alphacode-9b,2022-02-08,https://arxiv.org/abs/2203.07814v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Li et al., Competition-Level Code Generation with AlphaCode, arXiv v1 submitted 2022-02-08 (announced under a 2203 identifier). The 9B model was never released; the Science version is 2022-12-08."
circuit-training-ariane-2022,2022-01-14,"https://github.com/google-research/circuit_training/commit/1e17df006d94cecf6e445b4d371ff28672e5fc33 (commit first publishing the Ariane run record and model code, 2022-01-14; the pinned 532801b follows on 2022-01-15); research/model-release-dates/README.md","The evaluated artefact is a policy produced by running Google's public Circuit Training code on the documented January 2022 Ariane procedure, so the run record's publication dates it. No trained checkpoint was distributed."
gector-peet-2025-unspecified,2025-10-05,"https://arxiv.org/abs/2510.04394v1 (the PEET study, the only record of this configuration; arXiv v1 submitted 2025-10-05); research/model-release-dates/README.md","Identity unresolved; dated to the study that used it, per the 2026-09-14 ruling. The PEET study (Vadehra et al.) names no GECToR backbone, ensemble size or checkpoint, so the configuration is known only through that paper; arXiv 2510.04394 v1 was submitted 2025-10-05."
amazon-sparrow-architecture-proxy,2022-11-10,"https://www.aboutamazon.com/news/operations/amazon-introduces-sparrow-a-state-of-the-art-robot-that-handles-millions-of-diverse-products (Amazon's Sparrow introduction, the announcement of the deployed capability this architecture proxy stands for; article:published_time 2022-11-10); research/model-release-dates/README.md","Not one model; dated to the announcement of the capability it stands for, per the 2026-09-14 ruling. The record is an architecture proxy assembled from Amazon research components for a deployed system whose model graph is undisclosed. Amazon's Sparrow introduction carries article:published_time 2022-11-10."
binary64-affine-converter,2026-09-14,"research/unit-conversion/unit-conversion.md (not a trained model: the date of the work the program appears in, this dataset's own derivation note, first published in the repository 2026-09-14); research/model-release-dates/README.md","Not a trained model; dated to the work it appears in, per the 2026-09-14 ruling. A classical binary64 affine arithmetic function with no vendor and no release event, appearing only in this dataset's derivation note research/unit-conversion/unit-conversion.md, first published in the repository 2026-09-14."
github-copilot-2022-08,2022-10-25,"https://arxiv.org/abs/2210.14306v1 (Mozannar et al., the study that used this production checkpoint; arXiv v1 submitted 2022-10-25); research/model-release-dates/README.md","Revision undisclosed; dated to the study that used it, per the 2026-09-14 ruling. The production endpoint's model revision is not published and the product's preview (2021-06-29) and GA (2022-06-21) dates do not date these weights, so the record takes Mozannar et al., arXiv 2210.14306 v1, submitted 2022-10-25."
gemini-1.5-pro-naturalplan,2024-06-06,https://arxiv.org/abs/2406.04520v1 (the Natural Plan paper that ran this build; arXiv v1 submitted 2024-06-06); research/model-release-dates/README.md,"Revision unspecified; dated to the paper that used it, per the 2026-09-14 ruling. The study names no API revision and the candidate revisions have different dates, so the record takes the Natural Plan paper, arXiv 2406.04520 v1, submitted 2024-06-06."
gemini-1.5-pro-hourvideo,2024-11-07,https://arxiv.org/abs/2411.04998v1 (the HourVideo paper that ran this build; arXiv v1 submitted 2024-11-07); research/model-release-dates/README.md,"Revision unpinned; dated to the evaluation that ran it, per the 2026-09-14 ruling. The code requests the models/gemini-1.5-pro-latest alias and the pricing evidence admits either -001 or -002, so the record takes the HourVideo paper, arXiv 2411.04998 v1, submitted 2024-11-07."
openai-ns-2026-09-internal,2026-09-08,"https://openai.com/index/navier-stokes-solution/ (never released; the date OpenAI announced the Navier-Stokes result this model produced, 2026-09-08); research/navier-stokes-openai.md#model-identity; research/model-release-dates/README.md","Never released; dated to the announcement of the result it produced, per the 2026-09-14 ruling. The internal OpenAI research model covering the Navier-Stokes effort has no release or publication of its own; OpenAI announced the result on 2026-09-08."
anthropic-internal-research-flt-2026-08,2026-09-04,"https://www.anthropic.com/research/formalizing-fermats-last-theorem (never released; the date Anthropic announced the Fermat's Last Theorem formalization this model produced, 2026-09-04); research/flt-anthropic.md#model-identity; research/model-release-dates/README.md","Never released; dated to the announcement of the result it produced, per the 2026-09-14 ruling. The unnamed internal Anthropic research model has no release or publication of its own; Anthropic's post announcing the Fermat's Last Theorem formalization is dated 2026-09-04."
