model_id,model,current_active_prior,proposed_active_central,proposed_low,proposed_high,total_parameters_if_known,architecture,basis_type,confidence,key_sources,notes
grok-3-beta,grok-3-beta,115000000000,200000000000,80000000000,450000000000,"3e12 (Epoch, Likely)",sparse MoE,peer_transfer,C,Epoch AI all_ai_models.csv (2026-09-13); https://artificialanalysis.ai/models,"CHANGE 1.74x up. The Grok-2 transfer fails on its own terms: 3T total at Grok-2's 2.35x sparsity would activate 1.3T per token, unservable at Grok 4's measured 132 output tokens/s. At the 15-30x sparsity the rest of the 2026 reference class runs, 3T total gives 100-200B active. Bandwidth bound at 132 tokens/s caps it at 142-204B on 8 H100/H200 at fp8, doubling at 16-way sharding."
grok-4,Grok 4,115000000000,200000000000,80000000000,450000000000,"3e12 (Epoch, Speculative; 2.4T rumoured)",sparse MoE,peer_transfer,C,Epoch AI all_ai_models.csv (2026-09-13); https://artificialanalysis.ai/models,"CHANGE 1.74x up. Same value as grok-3-beta because Epoch's Grok 4 compute estimate assumes it shares Grok 3's pre-training. This is the change with the largest effect on the dataset, since Grok 4 carries points."
grok-3-mini-beta,grok-3-mini-beta,20000000000,20000000000,8000000000,50000000000,,sparse MoE,peer_transfer,C,Epoch AI all_ai_models.csv (2026-09-13),"Hold. Transferred from Epoch's o4-mini estimate; nothing xAI-specific exists. Priced at $0.30/$0.50, the bottom of xAI's ladder, which is consistent with a small-tier model but does not size it."
grok-4.20-beta-0309b-reasoning,Grok 4.20 reasoning (0309b evaluation endpoint),115000000000,70000000000,25000000000,180000000000,"5e11 (Epoch, Likely; Musk on X)",sparse MoE,developer_statement_plus_transfer,C,Epoch AI all_ai_models.csv (2026-09-13); https://artificialanalysis.ai/models; https://x.com/elonmusk/status/2023840935285760142,"CHANGE 1.64x down. Epoch records 500B total sourced to Musk: 'This is just our V8 small foundation model, so 500B params', corroborated by the Grok 4.3 statement that 'Grok 4.4 will be twice the size (1T)' and by Grok 4.5 coverage describing a 1.5T V9 foundation as about 3x v8-small. So 4.20 is a smaller foundation model than Grok 4, not a peer, and both rows carrying 115B is wrong either way. At 8-20x sparsity, 500B total gives 25-60B; on xAI's price ladder, $1.25 against Grok 4's $3.00 on a 200B Grok 4 gives 83B. 70B is the midpoint. Output price is only 2x input, where peers run 5-10x."
qwen-max-2025-01-25,qwen-max-2025-01-25,37000000000,37000000000,15000000000,90000000000,,sparse MoE,peer_transfer,C,Epoch AI all_ai_models.csv (2026-09-13),"Hold. Qwen2.5-Max, MoE, never disclosed; Epoch confidence Unknown. DeepSeek-V3 is the right contemporary peer - released within a month and benchmarked against it. The successor Qwen3-Max is Epoch-estimated at ~70B active on >1T total, so the Max tier grew after this row's date."
qwen-plus-2025-01-25,qwen-plus-2025-01-25,21000000000,21000000000,8000000000,45000000000,,sparse MoE,peer_transfer,B,Epoch AI all_ai_models.csv (2026-09-13),"Hold the value, upgrade the grade. Transferred from DeepSeek-V2.5 (21B active); independently, Epoch lists 'Qwen 3.5 Plus (hosted 397B-A17B)', tying the Plus alias to a 17B-active open model. Two lines now support 17-22B."
qwen-turbo-2024-11-01,qwen-turbo-2024-11-01,14000000000,6000000000,2000000000,18000000000,,sparse MoE,price_ladder_plus_transfer,C,Epoch AI all_ai_models.csv (2026-09-13); https://www.alibabacloud.com/help/en/model-studio/models,"CHANGE 2.3x down. Two independent lines put the Turbo tier well below Qwen2-57B-A14B. Alibaba priced Turbo at $0.05/1M input against Plus at $0.40 and Max at $1.60, so one eighth of Plus, giving 2.6B on a 21B Plus. And Epoch's Qwen3.7 Flash note records that 'Qwen3.5 Flash and Qwen3.6 Flash were both based on the 35B-A3B open weight models. Likely a 35B MoE with 3B active parameters.' 6B rather than 3B because the 2024 Turbo predates the 35B-A3B line."
qwq-plus,qwq-plus,32000000000,32000000000,20000000000,72000000000,3.25e10 if the QwQ-32B architecture,dense,family_transfer,B,https://qwenlm.github.io/blog/qwq-32b/; https://www.alibabacloud.com/help/en/model-studio/qwq-plus; Epoch AI all_ai_models.csv (2026-09-13),Hold. Alibaba positions QwQ-Plus as an enhanced QwQ and QwQ-32B is a disclosed 32.5B dense model with 64 layers. Epoch has no separate number. Narrow the low end from 16B to 20B: a hosted enhanced variant is unlikely to be half the size of the model it is named after.
qwen3.6-plus,Qwen3.6-Plus,17000000000,17000000000,10000000000,35000000000,3.97e11 if the Qwen3.5-397B-A17B lineage,sparse MoE,family_transfer,B,https://huggingface.co/Qwen/Qwen3.5-397B-A17B; Epoch AI all_ai_models.csv (2026-09-13),"Hold. Transferred from Qwen3.5-397B-A17B, and Epoch confirms the hosted Plus alias maps to the open flagship in the adjacent generation."
qwen3.7-max,Qwen3.7-Max,100000000000,90000000000,50000000000,150000000000,1e12 to 2.4e12,sparse MoE,interpolation,B,Epoch AI all_ai_models.csv (2026-09-13),"0.9x, below any flagging threshold, but it upgrades the grade from a bare frontier-scale assumption to an interpolation between two Epoch entries. Qwen3-Max (2025-09) is ~70B active on ~1T total; Qwen3.8-Max (2026-07) is 2.4T total and 95B active, Confident, matching the open Qwen3.8-2.4T-A95B release. Qwen3.7-Max (2026-05) sits between, closer to the later anchor."
glm-5.2,GLM-5.2,40000000000,40000000000,35000000000,45000000000,7.44e11,sparse MoE,developer_config_plus_epoch,A-,https://huggingface.co/zai-org/GLM-5.2/blob/main/config.json; Epoch AI all_ai_models.csv (2026-09-13),"Change active_parameters_basis from estimated to reported; value unchanged. Epoch records GLM-5.2 at 744B total with Confident confidence and the note '40 billion active', and the GLM-5.3 entry says 'Same base model as GLM-5.2, which had 744B total and 40B active.' The dataset independently derived 40B from matching GLM-5 projection and expert dimensions. A- rather than A because the sparse-attention indexer sharing change means the count is not directly published."
mistral-large-2402,mistral-large-2402,123000000000,123000000000,70000000000,200000000000,,dense (assumed),successor_transfer,C,https://mistral.ai/news/mistral-large-2407/; Epoch AI all_ai_models.csv (2026-09-13),"Hold the value, widen the range. Mistral has never disclosed the February 2024 architecture and Epoch's confidence is Speculative with no number. The 123B comes from the July successor, which is inferring a predecessor from a successor - backwards, and Mistral has since gone sparse (Large 3: 675B total, 41B active). Still the best anchor: Large 1 was the flagship and was priced above Large 2 at $8/$24 against $3/$9."
open-mistral-7b,open-mistral-7b,7300000000,7300000000,7200000000,7400000000,7.241732096e9,dense,developer_statement,A,https://mistral.ai/news/announcing-mistral-7b/; https://huggingface.co/mistralai/Mistral-7B-v0.1,"Hold. Mistral's announcement states 7.3B and the safetensors total for Mistral-7B-v0.1 is 7241732096. The estimated basis reflects an unresolved weight revision behind the API alias, not uncertainty about the size; I would leave the basis as is and say so in the note, consistent with grok-2-1212."
gulordava-english-lstm-650,"Gulordava English LSTM, two 650-unit layers",39321050,39321050,39321050,39321050,39321050,dense LSTM,architecture_derived,A,https://github.com/facebookresearch/colorlessgreenRNNs,"No change and no work done. Meets the scope filter literally (estimated basis, not OpenAI or Anthropic) but is a 2018 research LSTM whose size follows from its published architecture, not a frontier mixture-of-experts question."
fair-negotiator-2017-likelihood,FAIR 2017 negotiator (likelihood),1643181,1643181,1643181,1643181,1643181,dense GRU,architecture_derived,A,https://github.com/facebookresearch/end-to-end-negotiator,No change and no work done. flops_per_token is already not_applicable on this row. Same reasoning as the Gulordava row.
fair-negotiator-2017-rl,FAIR 2017 negotiator (reinforcement-learned),1643181,1643181,1643181,1643181,1643181,dense GRU,architecture_derived,A,https://github.com/facebookresearch/end-to-end-negotiator,No change and no work done. Same as fair-negotiator-2017-likelihood.
kimi-k3,Kimi K3 (not currently in either registry),,104000000000,40000000000,250000000000,2.8e12,sparse MoE,epoch_estimate,C,Epoch AI all_ai_models.csv (2026-09-13),"Not a proposed edit - listed because the brief names it. Epoch records 2.8T total and '104 billion active parameters' at Speculative confidence, published 2026-07-16. If K3 rows are added, 104B is the number to use."
reka-flash-3,Reka Flash 3,20905000000,20905000000,20905000000,20905000000,2.0905e10,dense,reported,A,https://huggingface.co/RekaAI/reka-flash-3,No change. Already reported basis from published weights; the only Reka model in either registry.
