model_id,model,registry,current_active_prior,proposed_active_central,proposed_low,proposed_high,total_parameters_if_known,architecture,basis_type,confidence,key_sources,change_vs_current,notes
gpt-4-2023-03-01-internal,"GPT-4 (internal March 1, 2023 exam snapshot)",dataset,275000000000,275000000000,200000000000,350000000000,1.8e12,moe_16_experts_top2,leak_corroborated,B,https://www.semianalysis.com/p/gpt-4-architecture-infrastructure; https://the-decoder.com/gpt-4-architecture-datasets-costs-and-more-leaked/; https://epoch.ai/data/all_ai_models.csv,unchanged,"SemiAnalysis reports 1.8T total with ~280B active per forward pass (16 experts, 2 routed); the-decoder's summary of the same leak gives 1.76T / 220B. Epoch carries 1.8T at 'Likely' confidence and quotes both variants. Independent check: 6 x 2.8e11 x 1.3e13 tokens = 2.2e25 FLOP, matching Epoch's ~2.1e25 training-compute entry, so the leak is self-consistent with independently estimated compute. The dataset's 275B sits inside the 220-280B leak spread. No change."
gpt-4-bar-exam-preview,GPT-4 (preliminary bar-exam evaluation),dataset,275000000000,275000000000,200000000000,350000000000,1.8e12,moe_16_experts_top2,leak_corroborated,B,https://www.semianalysis.com/p/gpt-4-architecture-infrastructure; https://the-decoder.com/gpt-4-architecture-datasets-costs-and-more-leaked/; https://epoch.ai/data/all_ai_models.csv,unchanged,"SemiAnalysis reports 1.8T total with ~280B active per forward pass (16 experts, 2 routed); the-decoder's summary of the same leak gives 1.76T / 220B. Epoch carries 1.8T at 'Likely' confidence and quotes both variants. Independent check: 6 x 2.8e11 x 1.3e13 tokens = 2.2e25 FLOP, matching Epoch's ~2.1e25 training-compute entry, so the leak is self-consistent with independently estimated compute. The dataset's 275B sits inside the 220-280B leak spread. No change."
gpt-4-original-unspecified,"GPT-4 (original public model, snapshot unspecified)",dataset,275000000000,275000000000,200000000000,350000000000,1.8e12,moe_16_experts_top2,leak_corroborated,B,https://www.semianalysis.com/p/gpt-4-architecture-infrastructure; https://the-decoder.com/gpt-4-architecture-datasets-costs-and-more-leaked/; https://epoch.ai/data/all_ai_models.csv,unchanged,"SemiAnalysis reports 1.8T total with ~280B active per forward pass (16 experts, 2 routed); the-decoder's summary of the same leak gives 1.76T / 220B. Epoch carries 1.8T at 'Likely' confidence and quotes both variants. Independent check: 6 x 2.8e11 x 1.3e13 tokens = 2.2e25 FLOP, matching Epoch's ~2.1e25 training-compute entry, so the leak is self-consistent with independently estimated compute. The dataset's 275B sits inside the 220-280B leak spread. No change."
gpt-4-1106-preview,gpt-4-1106-preview,dataset,275000000000,175000000000,70000000000,300000000000,unknown,moe_unknown_sparsity,inference_economics,C,https://epoch.ai/data/all_ai_models.csv; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://artificialanalysis.ai/providers/openai,1.57x down,"Epoch's database note for both GPT-4 Turbo snapshots reads 'Not known. Maybe smaller/sparser than GPT-4.' Serving evidence agrees in direction: GPT-4 Turbo listed at $10/$30 per Mtok against GPT-4 original's $30/$60, i.e. output price halved eight months later, and Epoch's own frontier-size article uses GPT-4 Turbo's 55 tok/s as the stepping stone between GPT-4 and GPT-4o. The dataset currently transfers GPT-4's 275B unchanged. 175B is the midpoint of a Turbo that is materially but not dramatically smaller; the geometric midpoint between GPT-4's 280B and GPT-4o's 50B would be 118B, which I judge too aggressive on this evidence. LOW CONFIDENCE JUDGMENT CALL: keeping 275B for family coherence is defensible, and the IKP factual-capacity reading actually ranks gpt-4-turbo (1.05T) above gpt-4 (622B), though that instrument is unreliable across eras."
gpt-4-0125-preview,gpt-4-0125-preview,dataset,275000000000,175000000000,70000000000,300000000000,unknown,moe_unknown_sparsity,inference_economics,C,https://epoch.ai/data/all_ai_models.csv; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://artificialanalysis.ai/providers/openai,1.57x down,"Epoch's database note for both GPT-4 Turbo snapshots reads 'Not known. Maybe smaller/sparser than GPT-4.' Serving evidence agrees in direction: GPT-4 Turbo listed at $10/$30 per Mtok against GPT-4 original's $30/$60, i.e. output price halved eight months later, and Epoch's own frontier-size article uses GPT-4 Turbo's 55 tok/s as the stepping stone between GPT-4 and GPT-4o. The dataset currently transfers GPT-4's 275B unchanged. 175B is the midpoint of a Turbo that is materially but not dramatically smaller; the geometric midpoint between GPT-4's 280B and GPT-4o's 50B would be 118B, which I judge too aggressive on this evidence. LOW CONFIDENCE JUDGMENT CALL: keeping 275B for family coherence is defensible, and the IKP factual-capacity reading actually ranks gpt-4-turbo (1.05T) above gpt-4 (622B), though that instrument is unreliable across eras."
gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09,dataset,275000000000,175000000000,70000000000,300000000000,unknown,moe_unknown_sparsity,inference_economics,C,https://epoch.ai/data/all_ai_models.csv; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://artificialanalysis.ai/providers/openai,1.57x down,"Epoch's database note for both GPT-4 Turbo snapshots reads 'Not known. Maybe smaller/sparser than GPT-4.' Serving evidence agrees in direction: GPT-4 Turbo listed at $10/$30 per Mtok against GPT-4 original's $30/$60, i.e. output price halved eight months later, and Epoch's own frontier-size article uses GPT-4 Turbo's 55 tok/s as the stepping stone between GPT-4 and GPT-4o. The dataset currently transfers GPT-4's 275B unchanged. 175B is the midpoint of a Turbo that is materially but not dramatically smaller; the geometric midpoint between GPT-4's 280B and GPT-4o's 50B would be 118B, which I judge too aggressive on this evidence. LOW CONFIDENCE JUDGMENT CALL: keeping 275B for family coherence is defensible, and the IKP factual-capacity reading actually ranks gpt-4-turbo (1.05T) above gpt-4 (622B), though that instrument is unreliable across eras."
gpt-4o-2024-05-13,gpt-4o-2024-05-13,dataset,50000000000,50000000000,25000000000,100000000000,2.0e11,moe_unknown_sparsity,inference_economics,B,https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://arxiv.org/abs/2604.24827,unchanged,"Epoch: ~200B total, 'likely between 100 and 400 billion', from serving economics (GPT-4o at 100-150 tok/s and $10/Mtok output against GPT-4 Turbo at 55 tok/s and $30/Mtok), 'could easily be off by a factor of 2'. Their energy article then takes '1/4 are activated at a time' on the pessimistic 400B tail to get 100B active; the central reading is 200B x 1/4 = 50B, which is what the dataset carries. MEDEC's widely circulated '~200B' for GPT-4o is this same Epoch number read back out of the literature, not independent corroboration. IKP reads GPT-4o at 392B total, which at 2024-era ~8x sparsity also lands near 50B active. No change."
gpt-4o-2024-08-06,GPT-4o 2024-08-06,dataset,50000000000,50000000000,25000000000,100000000000,2.0e11,moe_unknown_sparsity,inference_economics,B,https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://arxiv.org/abs/2604.24827,unchanged,"Epoch: ~200B total, 'likely between 100 and 400 billion', from serving economics (GPT-4o at 100-150 tok/s and $10/Mtok output against GPT-4 Turbo at 55 tok/s and $30/Mtok), 'could easily be off by a factor of 2'. Their energy article then takes '1/4 are activated at a time' on the pessimistic 400B tail to get 100B active; the central reading is 200B x 1/4 = 50B, which is what the dataset carries. MEDEC's widely circulated '~200B' for GPT-4o is this same Epoch number read back out of the literature, not independent corroboration. IKP reads GPT-4o at 392B total, which at 2024-era ~8x sparsity also lands near 50B active. No change."
gpt-4o-2024-11-20,gpt-4o-2024-11-20,dataset,50000000000,50000000000,25000000000,100000000000,2.0e11,moe_unknown_sparsity,inference_economics,B,https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://arxiv.org/abs/2604.24827,unchanged,"Epoch: ~200B total, 'likely between 100 and 400 billion', from serving economics (GPT-4o at 100-150 tok/s and $10/Mtok output against GPT-4 Turbo at 55 tok/s and $30/Mtok), 'could easily be off by a factor of 2'. Their energy article then takes '1/4 are activated at a time' on the pessimistic 400B tail to get 100B active; the central reading is 200B x 1/4 = 50B, which is what the dataset carries. MEDEC's widely circulated '~200B' for GPT-4o is this same Epoch number read back out of the literature, not independent corroboration. IKP reads GPT-4o at 392B total, which at 2024-era ~8x sparsity also lands near 50B active. No change."
gpt-4o-metr,GPT-4o (METR snapshot unspecified),dataset,50000000000,50000000000,25000000000,100000000000,2.0e11,moe_unknown_sparsity,inference_economics,B,https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://arxiv.org/abs/2604.24827,unchanged,"Epoch: ~200B total, 'likely between 100 and 400 billion', from serving economics (GPT-4o at 100-150 tok/s and $10/Mtok output against GPT-4 Turbo at 55 tok/s and $30/Mtok), 'could easily be off by a factor of 2'. Their energy article then takes '1/4 are activated at a time' on the pessimistic 400B tail to get 100B active; the central reading is 200B x 1/4 = 50B, which is what the dataset carries. MEDEC's widely circulated '~200B' for GPT-4o is this same Epoch number read back out of the literature, not independent corroboration. IKP reads GPT-4o at 392B total, which at 2024-era ~8x sparsity also lands near 50B active. No change."
gpt-4o-arc-alias,GPT-4o (ARC Prize API alias),dataset,50000000000,50000000000,25000000000,100000000000,2.0e11,moe_unknown_sparsity,inference_economics,B,https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://arxiv.org/abs/2604.24827,unchanged,"Epoch: ~200B total, 'likely between 100 and 400 billion', from serving economics (GPT-4o at 100-150 tok/s and $10/Mtok output against GPT-4 Turbo at 55 tok/s and $30/Mtok), 'could easily be off by a factor of 2'. Their energy article then takes '1/4 are activated at a time' on the pessimistic 400B tail to get 100B active; the central reading is 200B x 1/4 = 50B, which is what the dataset carries. MEDEC's widely circulated '~200B' for GPT-4o is this same Epoch number read back out of the literature, not independent corroboration. IKP reads GPT-4o at 392B total, which at 2024-era ~8x sparsity also lands near 50B active. No change."
gpt-4o-audio-preview-2024-10-01,GPT-4o audio-preview 2024-10-01,dataset,50000000000,50000000000,25000000000,100000000000,2.0e11,moe_unknown_sparsity,inference_economics,B,https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://arxiv.org/abs/2604.24827,unchanged,"Epoch: ~200B total, 'likely between 100 and 400 billion', from serving economics (GPT-4o at 100-150 tok/s and $10/Mtok output against GPT-4 Turbo at 55 tok/s and $30/Mtok), 'could easily be off by a factor of 2'. Their energy article then takes '1/4 are activated at a time' on the pessimistic 400B tail to get 100B active; the central reading is 200B x 1/4 = 50B, which is what the dataset carries. MEDEC's widely circulated '~200B' for GPT-4o is this same Epoch number read back out of the literature, not independent corroboration. IKP reads GPT-4o at 392B total, which at 2024-era ~8x sparsity also lands near 50B active. No change."
gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,dataset,8000000000,8000000000,4000000000,20000000000,~9.2e10 (IKP),moe_unknown_sparsity,family_transfer,C,https://arxiv.org/abs/2412.19260; https://arxiv.org/abs/2604.24827; https://artificialanalysis.ai/providers/openai,unchanged,"No disclosure. MEDEC lists ~8B but that table is explicitly 'mined from public articles' and the authors 'cannot vouch for their accuracy', so it is not independent of the same 8B guess the dataset already uses. Serving: $0.15/$0.60 per Mtok at 150 tok/s, the cheapest and among the fastest OpenAI models of its era. IKP reads 92B total, which at ~10x sparsity gives ~9B active - a genuinely independent line that lands on the existing prior. No change."
gpt-4.5-preview-2025-02-27,gpt-4.5-preview-2025-02-27,dataset,600000000000,800000000000,400000000000,1600000000000,5e12-7e12 (Lambert),moe_unknown_sparsity,compute_and_price,B,https://www.interconnects.ai/p/gpt-45-not-a-frontier-model; https://epoch.ai/data/all_ai_models.csv; https://venturebeat.com/ai/openai-releases-gpt-4-5,1.33x up,"Three routes. (1) Lambert: 5-7T total, ~600B active, from '5X parameters + 2X dataset size = 10X compute' relative to GPT-4; his own caveat is 'big error bars'. (2) Epoch's training compute: 3.8e26 FLOP at 'Likely' confidence, from 187M H100-hours at 20-40% utilisation. Inverting C = 6ND at GPT-4's overtraining ratio (D/N = 46) gives 1.2T active; at a more overtrained D/N = 100 it gives 800B; at D/N = 30 it gives 1.4T. (3) Price: $75/$150 per Mtok, 15x GPT-4o's output price nine months later, the highest OpenAI has ever charged, and API access was withdrawn 2025-07-14 rather than repriced - consistent with a model too expensive to serve. All three point at or above Lambert's 600B, so I move the central up to 800B. This is a 1.33x change, below the reporting threshold, but the direction is worth knowing."
gpt-4.1-2025-04-14,GPT-4.1,dataset,50000000000,50000000000,25000000000,120000000000,~2.2e12 (IKP),moe_unknown_sparsity,inference_economics,C,https://arxiv.org/abs/2604.24827; https://artificialanalysis.ai/providers/openai; https://epoch.ai/data/all_ai_models.csv,unchanged,"IKP puts GPT-4.1 at 2.2T total, the largest pre-GPT-5.5 OpenAI entry, well above GPT-4o's 392B. But GPT-4.1 is priced BELOW GPT-4o ($2/$8 against $2.50/$10) at comparable speed, which bounds active parameters at or below GPT-4o's. The two reconcile if GPT-4.1 is a sparser, more knowledge-dense model: larger total, similar or smaller active. Since the dataset needs active parameters, the serving evidence governs. No change."
gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,dataset,24000000000,25000000000,10000000000,60000000000,~5.0e11 (IKP),moe_unknown_sparsity,indirect_convergence,C,https://arxiv.org/abs/2604.24827; https://cbowdon.github.io/posts/gpt-params/index.html; https://artificialanalysis.ai/providers/openai,1.04x up,"Existing prior came from a reported accuracy comparison with Mistral Small 24B, which establishes nothing about architecture. It now has genuine independent support: IKP reads 501B total, which at ~20x 2025-era sparsity gives ~25B active. Priced $0.40/$1.60, between GPT-4o-mini and GPT-4.1. Rounded to 25B from 24B - a 1.04x change, i.e. effectively no change, but the confidence basis is much better than 'weak size prior'."
gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,dataset,8000000000,8000000000,3000000000,20000000000,~7.1e10 (IKP),moe_unknown_sparsity,family_transfer,C,https://arxiv.org/abs/2604.24827; https://artificialanalysis.ai/providers/openai; https://cbowdon.github.io/posts/gpt-params/index.html,unchanged,Priced $0.10/$0.40 per Mtok at 117 tok/s. IKP reads 71B total; at ~10x sparsity that is ~7B active. The existing Ministral-8B-comparator prior survives contact with the independent evidence. No change.
o1-preview-2024-09-12,o1-preview-2024-09-12,dataset,50000000000,60000000000,25000000000,200000000000,~1.3e12 (IKP),moe_unknown_sparsity,family_transfer,C,https://arxiv.org/abs/2604.24827; https://arxiv.org/abs/2412.19260; https://x.com/OpenAIDevs/status/1932532777565446348; https://artificialanalysis.ai/providers/openai,1.20x up,"Two signals point above the GPT-4o-transferred 50B: o1 launched at $15/$60 per Mtok, six times GPT-4o's output price, and IKP reads 1.3T total against GPT-4o's 392B. Both are weak. The price signal is undercut by OpenAI's own o3 announcement - an 80 percent cut with 'Same exact model-just cheaper' - which shows reasoning-model list prices carried roughly 5x margin over serving cost. MEDEC's o1-preview ~300B and o1-mini ~100B are the only figures in that paper not traceable to prior public estimates, but they carry the authors' blanket 'cannot vouch' disclaimer. Artificial Analysis publishes no throughput for o1, so the one route that would settle it is unavailable. Nudged to 60B; 1.2x, below the reporting threshold."
o1-2024-12-17,o1-2024-12-17,dataset,50000000000,60000000000,25000000000,200000000000,~1.3e12 (IKP),moe_unknown_sparsity,family_transfer,C,https://arxiv.org/abs/2604.24827; https://arxiv.org/abs/2412.19260; https://x.com/OpenAIDevs/status/1932532777565446348; https://artificialanalysis.ai/providers/openai,1.20x up,"Two signals point above the GPT-4o-transferred 50B: o1 launched at $15/$60 per Mtok, six times GPT-4o's output price, and IKP reads 1.3T total against GPT-4o's 392B. Both are weak. The price signal is undercut by OpenAI's own o3 announcement - an 80 percent cut with 'Same exact model-just cheaper' - which shows reasoning-model list prices carried roughly 5x margin over serving cost. MEDEC's o1-preview ~300B and o1-mini ~100B are the only figures in that paper not traceable to prior public estimates, but they carry the authors' blanket 'cannot vouch' disclaimer. Artificial Analysis publishes no throughput for o1, so the one route that would settle it is unavailable. Nudged to 60B; 1.2x, below the reporting threshold."
o1-metr,o1 (METR configuration),dataset,50000000000,60000000000,25000000000,200000000000,~1.3e12 (IKP),moe_unknown_sparsity,family_transfer,C,https://arxiv.org/abs/2604.24827; https://arxiv.org/abs/2412.19260; https://x.com/OpenAIDevs/status/1932532777565446348; https://artificialanalysis.ai/providers/openai,1.20x up,"Two signals point above the GPT-4o-transferred 50B: o1 launched at $15/$60 per Mtok, six times GPT-4o's output price, and IKP reads 1.3T total against GPT-4o's 392B. Both are weak. The price signal is undercut by OpenAI's own o3 announcement - an 80 percent cut with 'Same exact model-just cheaper' - which shows reasoning-model list prices carried roughly 5x margin over serving cost. MEDEC's o1-preview ~300B and o1-mini ~100B are the only figures in that paper not traceable to prior public estimates, but they carry the authors' blanket 'cannot vouch' disclaimer. Artificial Analysis publishes no throughput for o1, so the one route that would settle it is unavailable. Nudged to 60B; 1.2x, below the reporting threshold."
o1-mini-2024-09-12,o1-mini-2024-09-12,dataset,20000000000,20000000000,10000000000,30000000000,6e10-1.2e11 (Epoch),moe_unknown_sparsity,epoch_inference_economics,B,https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2506.04645; https://artificialanalysis.ai/providers/openai,unchanged,"This is the best-evidenced non-disclosed number in the whole OpenAI set. Epoch's database note, attached verbatim to o1-mini, o3-mini and o4-mini alike: 'we suspect total parameter count around 60B-120B, active parameters around 10B-30B. Given these models are served at 150-200 tok/s, at $4.40/Mtok output, inference economics suggests...'. Measured throughput corroborates: o3-mini 209 tok/s, o4-mini (high) 136 tok/s. The dataset's 20B is the centre of Epoch's own 10-30B range. No change; confidence raised to B."
o3-mini-2025-01-31,o3-mini-2025-01-31,dataset,20000000000,20000000000,10000000000,30000000000,6e10-1.2e11 (Epoch),moe_unknown_sparsity,epoch_inference_economics,B,https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2506.04645; https://artificialanalysis.ai/providers/openai,unchanged,"This is the best-evidenced non-disclosed number in the whole OpenAI set. Epoch's database note, attached verbatim to o1-mini, o3-mini and o4-mini alike: 'we suspect total parameter count around 60B-120B, active parameters around 10B-30B. Given these models are served at 150-200 tok/s, at $4.40/Mtok output, inference economics suggests...'. Measured throughput corroborates: o3-mini 209 tok/s, o4-mini (high) 136 tok/s. The dataset's 20B is the centre of Epoch's own 10-30B range. No change; confidence raised to B."
o4-mini-2025-04-16,o4-mini-2025-04-16,dataset,20000000000,20000000000,10000000000,30000000000,6e10-1.2e11 (Epoch),moe_unknown_sparsity,epoch_inference_economics,B,https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2506.04645; https://artificialanalysis.ai/providers/openai,unchanged,"This is the best-evidenced non-disclosed number in the whole OpenAI set. Epoch's database note, attached verbatim to o1-mini, o3-mini and o4-mini alike: 'we suspect total parameter count around 60B-120B, active parameters around 10B-30B. Given these models are served at 150-200 tok/s, at $4.40/Mtok output, inference economics suggests...'. Measured throughput corroborates: o3-mini 209 tok/s, o4-mini (high) 136 tok/s. The dataset's 20B is the centre of Epoch's own 10-30B range. No change; confidence raised to B."
