model,company,total_B,total_low_B,total_high_B,active_B,active_low_B,active_high_B,source,source_type,date,method,corroboration
GPT-5,OpenAI,—,—,—,100,—,—,"Epoch AI, Notes on GPT-5 training compute",analyst_estimate,2025-10-13,"A mid-sized frontier model with about 100B active params, akin to Grok 2 (115B active), GPT-4o, and Claude Sonnet, from price, speed and prevailing industry trends","Corroborated twice: 5e25 FLOP over at least 30T tokens gives 83-167B active through C=6ND, and IKP 1.8T total implies 18x sparsity against OpenAI own disclosed 22.8x for gpt-oss-120b"
GPT-5 high,OpenAI,—,—,—,635,—,—,"cbowdon, Estimating GPT parameter counts",analyst_estimate,2025,"Regression of log10(parameters) on family, a reasoning flag and eight benchmark scores, fit to open models; 80 percent of variance; a very rough 0.4x reasoning factor",Contradicted by serving data: it puts GPT-4o at 26B and GPT-5 at 635B while the two are within a factor of two on output speed
GPT-5.6 Sol,OpenAI,3200,—,—,—,—,—,"Ed Zitron, X",insider_leak,2026-09-06,"Per a source; no architecture, no activation fraction, no corroborating detail. Date inferred from the search index; x.com is not fetchable",No independent corroboration. Its 1.5x ratio to the Astra figure is consistent with the price and speed step between the two models
GPT-5.6 Sol,OpenAI,5000,—,—,—,—,—,"@TokenGremlin, X",analyst_estimate,2026-08,Self-described estimate; the explanatory post could not be retrieved,"Contradicts Zitron 3.2T by 1.6x. Anonymous, no published method"
GPT-6 Astra,OpenAI,4800,—,—,—,—,—,"Ed Zitron, X",insider_leak,2026-09-06,Per a source; significantly bigger model too weight wise. Date inferred from the search index,"The only size claim for Astra with any attributed provenance. Post-dates IKP, so no instrument covers it. Epoch lists Parameters Unknown"
GPT-6 Astra,OpenAI,8000,—,—,—,—,—,"@TokenGremlin, X",analyst_estimate,2026-08,Self-described estimate; method not retrievable,Contradicts Zitron 4.8T by 1.7x
GPT-6 Astra (Bel pre-train),OpenAI,10000,—,—,—,—,—,"@synthwavedd, X, relayed by note.com and content sites",rumor,2026-08-25,Unattributed claim that OpenAI completed a pre-trained model called Bel with over 10 trillion parameters,Unfounded. OpenAI has announced neither Bel nor Doug; the most careful secondary account treats it as speculation and notes the figure is meaningless without an activation fraction
GPT-6 Astra,OpenAI,—,—,—,—,—,—,Epoch AI model page and database,non_estimate,2026-09-13,Parameters: Unknown. Training compute: Unknown,Absence of any Epoch figure for a model released ten days earlier
gpt-oss-120b,OpenAI,116.83,—,—,5.13,—,—,"OpenAI gpt-oss model card, arXiv 2508.10925",disclosure,2025-08-05,"36 layers, 128 experts, top-4 routing; routed-expert and attention parameters count towards active, embeddings do not","Exact. Pins OpenAI own 2025 sparsity ratio at 22.8x, which is the anchor every total-to-active conversion in this survey uses"
gpt-oss-20b,OpenAI,20.91,—,—,3.61,—,—,"OpenAI gpt-oss model card, arXiv 2508.10925",disclosure,2025-08-05,"24 layers, top-4 routing",Exact. Sparsity 5.8x
GPT-5.5 Pro (think),OpenAI,5300,1700,17100,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5.5,OpenAI,4700,1500,15100,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5.4 Pro,OpenAI,2400,744,7600,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-4.1,OpenAI,2200,677,6900,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5 Pro,OpenAI,2100,657,6700,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
o3,OpenAI,2100,650,6700,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5 (think),OpenAI,2000,614,6300,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5,OpenAI,1800,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active","Implies 18x sparsity against Epoch 100B active, in line with OpenAI own disclosed 22.8x for gpt-oss-120b. The strongest single cross-check in this survey"
o1,OpenAI,1300,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5.4,OpenAI,1100,334,3400,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5.3,OpenAI,1100,330,3400,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-4 Turbo,OpenAI,1050,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active","Ranks above GPT-4, contradicting Epoch maybe smaller/sparser. Cross-era ordering is the instrument weakest regime"
GPT-5.2 Pro,OpenAI,639,200,2000,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5.1,OpenAI,634,198,2000,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-4,OpenAI,622,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active","Calibration failure: 622B against the leaked 1.8T total, low by 2.9x. This is the only OpenAI model in the table with an independent total"
GPT-5.2,OpenAI,571,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-4.1 mini,OpenAI,501,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-4o,OpenAI,392,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
o4-mini (think),OpenAI,370,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5.4 mini,OpenAI,339,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
gpt-3.5-turbo,OpenAI,246,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
gpt-oss-120b (think),OpenAI,106,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5 mini (think),OpenAI,105,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5 mini,OpenAI,93,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-4o mini,OpenAI,92,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-4.1 nano,OpenAI,71,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
o3-mini,OpenAI,62,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5 nano,OpenAI,23,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
gpt-oss-20b (think),OpenAI,16,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
GPT-5.4 nano,OpenAI,9.9,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing calibrated log-linearly on 93 open-weight models, R2 0.910, 90 percent interval 3.2x each way; estimates total, not active",Calibration check: reads gpt-oss-120b at 106B against a disclosed 116.83B total and gpt-oss-20b at 16B against 20.91B
Claude 2,Anthropic,130,—,—,—,—,—,"Alan D. Thompson, LifeArchitect The Memo",analyst_estimate,2023-07,No reproducible calculation published,"Coincides with training compute inverted at era-appropriate token ratios (118-180B active), which is weak convergence rather than corroboration"
Claude 3 Sonnet,Anthropic,70,—,—,—,—,—,"Alan D. Thompson, LifeArchitect Claude 3 special edition",analyst_estimate,2024-03,No reproducible calculation published,Nothing independent exists for this model
Claude 3 Opus,Anthropic,2000,—,—,—,—,—,"Alan D. Thompson, LifeArchitect Claude 3 special edition",analyst_estimate,2024-03,No reproducible calculation published,"The dataset rejects the chain that turns this into an active count. Training compute at era-appropriate ratios gives 244-370B active, which is not derivable from the 2T"
Claude 3 Haiku,Anthropic,—,—,—,20,—,—,"Alan D. Thompson, LifeArchitect",analyst_estimate,2024-03,No reproducible calculation published,The only cross-check available is Epoch 10-30B active for the o4-mini class
Claude 3.5 Sonnet,Anthropic,400,—,—,—,—,—,"Epoch AI (Ege Erdil), Frontier language models have become much smaller",analyst_estimate,2024-12-13,"Inference economics: served at around 60 tokens per second at $15 per million output tokens, with speed not declining much at 100K context","The 100B active the dataset carries comes from applying Epoch separate quarter-activation convention, not from this post. IKP has no Claude 3.5 Sonnet row"
Claude 3.5 Sonnet,Anthropic,175,—,—,—,—,—,"Microsoft MEDEC, arXiv 2412.19260",literature_compilation,2024-12-26,"Approximately 175B parameters, no source cited; authors state most numbers of parameters are estimate reported to provide more context","Weight near zero. 175B is GPT-3 parameter count, the commonest placeholder in papers that need a number for a closed model"
Claude Opus 4,Anthropic,—,—,—,—,174,196,"unexcitedneurons, Estimating the size of Claude Opus",analyst_estimate,2026-03-12,"OpenRouter decode throughput divided by an effective bandwidth of 4.0-4.5 TB/s calibrated by running the same inversion on three open models of known active size on Vertex, at FP8","Directionally corroborated by a 3x list-price cut at the 4.1 to 4.5 transition. Confounded by Anthropic own fast mode, which serves fixed weights at 2.5x the per-user rate"
Claude Opus 4.1,Anthropic,—,—,—,—,167,188,unexcitedneurons,analyst_estimate,2026-03-12,Same method,Same confound
Claude Opus 4.5,Anthropic,—,—,—,—,100,113,unexcitedneurons,analyst_estimate,2026-03-12,Same method,"Independently reproduced at 90-101B using Artificial Analysis throughput, a 1.11x agreement"
Claude Opus 4.6,Anthropic,—,1660,3270,—,93,105,unexcitedneurons,analyst_estimate,2026-03-12,Same method for active; total is the active figure expanded across a range of assumed sparsity ratios. The source explicitly rejects 10T-plus totals for this class,"IKP reads Opus 4.6 think at 1.6T total, inside the stated band. Contradicts the LifeArchitect 5T"
Claude Opus 4.6,Anthropic,5000,—,—,—,—,—,"Alan D. Thompson, LifeArchitect, reported by buttondown The LLM Parameter Lie",analyst_estimate,2026-02,No method published; recorded second-hand because Thompson own pages now gate the figure to institutional clients,Contradicted by the 1.66-3.27T total band from throughput and by IKP 1.6T. The 5T is 1.5-3x above both
Claude Mythos 5,Anthropic,8000,—,—,—,—,—,"Financial Times, via Reuters wire",press_report,2026-08-07,"Attributed to industry estimates, not to Anthropic or a named source. Total parameters; no activation fraction given","Internally contradicted: Anthropic states Fable and Mythos share identical model weights, so the two figures cannot both be right"
Claude Fable 5,Anthropic,5000,—,—,—,—,—,"Financial Times, via Reuters wire",press_report,2026-08-07,Attributed to industry estimates; total parameters,"Corroborated by IKP 3.5T total, which sits inside IKP 3.2x interval and within 1.4x of the FT figure. This is the best-corroborated total for any Anthropic model"
Claude Opus 5,Anthropic,5000,—,—,—,500,1000,aithinkerlab,rumor,2026-08,"Three stated source types: an Elon Musk post the page concedes it cannot locate, an inference from an unverified 10T Mythos architecture, and unattributed forum cost data","Discard. The page also asserts Opus 5 is not an officially announced product, which is false"
All Claude models,Anthropic,—,—,—,—,—,—,Epoch AI model database,non_estimate,2026-09-13,"Parameters field blank on all eighteen Claude rows, from Claude through Opus 5 and Fable 5 / Mythos 5",Epoch has never published a parameter estimate for any Anthropic model
Claude Fable 5,Anthropic,—,—,—,—,—,—,Artificial Analysis model page,non_estimate,2026-09-13,Anthropic has not disclosed the model size or parameter count,Artificial Analysis publishes throughput and price and no size for any closed model
Claude Fable 5,Anthropic,3500,1100,11200,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper","Agrees with the FT 5T within 1.4x and inside the 3.2x interval. Two independent routes, which no other Anthropic model has"
Claude Opus 4.6 (think),Anthropic,1600,503,5100,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper",Read as a lower bound: the paper states that heavily safety-tuned models systematically read smaller than their weights
Claude Opus 4.5,Anthropic,892,279,2900,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper",Read as a lower bound: the paper states that heavily safety-tuned models systematically read smaller than their weights
Claude Opus 4.1 (think),Anthropic,847,265,2700,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper",Read as a lower bound: the paper states that heavily safety-tuned models systematically read smaller than their weights
Claude Sonnet 4.6 (think),Anthropic,766,240,2500,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper",Read as a lower bound: the paper states that heavily safety-tuned models systematically read smaller than their weights
Claude Opus 4.7 (think),Anthropic,738,231,2400,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper",Read as a lower bound: the paper states that heavily safety-tuned models systematically read smaller than their weights
Claude Sonnet 5,Anthropic,584,183,1900,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper",Read as a lower bound: the paper states that heavily safety-tuned models systematically read smaller than their weights
Claude Opus 4.8,Anthropic,236,74,753,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; estimates total, not active. Neither the Anthropic nor the Google/xAI prior report in this project cites this paper","The paper own analysis attributes the 4.6 to 4.7 to 4.8 decline to rising refusal rates rather than to size, so this figure is not usable as a size ordering"
"Claude Opus 5, Claude Fable 5.1, Claude Mythos 5.1",Anthropic,—,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",non_estimate,2026-07-05,"No row exists for any of the three. The Anthropic set stops at Fable 5, Opus 4.8 and Sonnet 5",The only calibrated instrument that covers closed models does not cover the three Anthropic models the dataset most needs
Gemini 1.0 Nano-1,Google DeepMind,1.8,—,—,1.8,—,—,Gemini 1.0 technical report,disclosure,2023-12-06,Stated in the report; dense,Exact. One of only three Gemini sizes Google has ever stated
Gemini 1.0 Nano-2,Google DeepMind,3.25,—,—,3.25,—,—,Gemini 1.0 technical report,disclosure,2023-12-06,Stated in the report; dense,Exact
Gemini 1.5 Flash-8B,Google DeepMind,8,—,—,8,—,—,Google for Developers blog,disclosure,2024-10-03,An 8 billion parameter version of the Gemini 1.5 Flash model; the 1.5 report puts it in the single-digit billion class,"Exact. Dense, so total equals active"
Gemini 2.5 Pro,Google DeepMind,3000,943,9600,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; total, not active","The only quantitative estimate of any kind for any Gemini Pro model. Not corroborated by anything; serving bounds put active at 70-320B, which is consistent at 10-40x sparsity"
Gemini 3.1 Pro,Google DeepMind,7300,—,—,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP), Table 16",academic_instrument,2026-07-05,Printed in the lambda-sensitivity table only. The paper excludes the whole Gemini 3.x family from estimation because Gemini 3.1 Pro is its T6 calibration landmark and its T6 score is inflated by construction,Not independent of the landmark construction. The paper says landmark models should be excluded from estimation targets
Gemini 3 Pro,Google DeepMind,7500,1700,12576,—,—,—,"@scaling01 (Lisan al Gaib), X",analyst_estimate,2025-11-19,Benchmark regression restricted post hoc to sparse MoE reasoning models; the author calls it vibe-mathing,"The unrestricted fit returned 2.3 quadrillion parameters, and the restriction that fixed it was chosen after seeing the answer. Its agreement with the IKP 7.3T is not corroboration, since both are regressions on capability-correlated scores"
Gemini 3 Pro,Google DeepMind,1000,—,—,175,150,200,SEO articles citing a Gemini 3 technical brief from Google Research,rumor,2025-2026,"Over 1 trillion total with 15-20 percent active, sourced to a document that does not exist",Discard. The actual Gemini 3 Pro model card repeats the 2.5 report architecture boilerplate and contains no numbers
All Gemini models,Google DeepMind,—,—,—,—,—,—,Epoch AI model database and model pages,non_estimate,2026-09-13,"Parameters blank on every Gemini row. epoch.ai/models/gemini-3-pro shows Parameters: Unknown, Training compute: Unknown",Epoch has never published a parameter estimate for any Gemini model
Grok-1,xAI,314,—,—,79,—,—,xAI weight release,disclosure,2023-11-04,Published architecture,Exact
Grok-2,xAI,269.5,—,—,115.0,—,—,xAI weight release and config.json,released_weights,2024-08-13,"64 layers, hidden 8192, an always-on shared MLP at intermediate 32768 and 8 routed experts at 16384 with top-2 routing; summing the layers reproduces the published totals to 0.11 percent and 0.00 percent","Exact on the number. The identification of these weights with the December grok-2-1212 API revision is the open question, not the arithmetic"
