point_id,source_dataset,old_label,action,new_label,scores_used,reason
reas-epoch-gpqa-wizardlm2,Epoch AI benchmarks,above,above,above,"AI 43.43% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-mathl5-o3high,Epoch AI benchmarks,above,above,above,AI 97.77% vs assumed IMO-gold baseline 90%,human 0.92 of AI on the benchmark metric
reas-epoch-mathl5-o3mini,Epoch AI benchmarks,above,above,above,AI 96.49% vs assumed IMO-gold baseline 90%,human 0.93 of AI on the benchmark metric
reas-epoch-mathl5-o4mini,Epoch AI benchmarks,above,above,above,AI 97.83% vs assumed IMO-gold baseline 90%,human 0.92 of AI on the benchmark metric
reas-epoch-otis-dsv32,Epoch AI benchmarks,above,above,above,AI 87.82% vs contest mean 51.55%,"human 0.59 of AI on the benchmark metric (borderline, human/AI 0.59)"
reas-epoch-otis-gemini31pro,Epoch AI benchmarks,above,above,above,AI 100% vs contest mean 51.55%,"human 0.52 of AI on the benchmark metric (borderline, human/AI 0.52)"
reas-epoch-otis-glm47,Epoch AI benchmarks,above,above,above,AI 83.33% vs contest mean 51.55%,human 0.62 of AI on the benchmark metric
reas-epoch-otis-glm5,Epoch AI benchmarks,above,above,above,AI 83.72% vs contest mean 51.55%,human 0.62 of AI on the benchmark metric
reas-epoch-otis-gpt54xhigh,Epoch AI benchmarks,above,above,above,AI 99.7% vs contest mean 51.55%,"human 0.52 of AI on the benchmark metric (borderline, human/AI 0.52)"
reas-epoch-otis-gptoss120b,Epoch AI benchmarks,above,above,above,AI 88.89% vs contest mean 51.55%,"human 0.58 of AI on the benchmark metric (borderline, human/AI 0.58)"
reas-epoch-otis-grok3mini,Epoch AI benchmarks,above,above,above,AI 77.78% vs contest mean 51.55%,human 0.66 of AI on the benchmark metric
reas-epoch-otis-o1med,Epoch AI benchmarks,above,above,above,AI 73.33% vs contest mean 51.55%,human 0.70 of AI on the benchmark metric
reas-epoch-otis-o3high,Epoch AI benchmarks,above,above,above,AI 83.89% vs contest mean 51.55%,human 0.61 of AI on the benchmark metric
reas-epoch-otis-o3mini,Epoch AI benchmarks,above,above,above,AI 76.94% vs contest mean 51.55%,human 0.67 of AI on the benchmark metric
reas-epoch-otis-o4mini,Epoch AI benchmarks,above,above,above,AI 81.67% vs contest mean 51.55%,human 0.63 of AI on the benchmark metric
reas-epoch-otis-opus46-32k,Epoch AI benchmarks,above,above,above,AI 93.06% vs contest mean 51.55%,"human 0.55 of AI on the benchmark metric (borderline, human/AI 0.55)"
reas-epoch-otis-opus46-64k,Epoch AI benchmarks,above,above,above,AI 94.44% vs contest mean 51.55%,"human 0.55 of AI on the benchmark metric (borderline, human/AI 0.55)"
reas-epoch-otis-qwen3thinking,Epoch AI benchmarks,above,above,above,AI 86.67% vs contest mean 51.55%,"human 0.59 of AI on the benchmark metric (borderline, human/AI 0.59)"
