point_id,old_label,new_label,action,reason
perc-hourvideo-gemini15pro-tasklevel,below,below,exclude,"38.9% against three human experts at 85.0%, 0.29 of the human above the 20% guessing floor"
perc-hourvideo-gemini15pro-individual,below,below,exclude,"36.8% against three human experts at 85.0%, 0.26 of the human above the 20% guessing floor"
work-apex-agents-gemini35flash,below,below,exclude,"pass@1 47.1% against an expert-written gold arm passing by construction No criterion-level score is published for this model on any board, so it is judged on pass@1 under the rule; models with a criterion score are judged on that instead."
work-apex-agents-kimik3,below,below,relabel,Coordinator ruling 2026-09-13: Mercor criterion-level mean pass rate 0.554 of the human 1.0 baseline; the job is done at lower quality; kept as below.
work-apex-agents-gpt56terra,below,below,exclude,"pass@1 38.9% against an expert-written gold arm passing by construction No criterion-level score is published for this model on any board, so it is judged on pass@1 under the rule; models with a criterion score are judged on that instead."
work-apex-agents-gpt55,below,below,relabel,Coordinator ruling 2026-09-13: Mercor criterion-level mean pass rate 0.555 of the human 1.0 baseline; the job is done at lower quality; kept as below.
work-apex-agents-gpt56luna,below,below,exclude,"pass@1 35.8% against an expert-written gold arm passing by construction No criterion-level score is published for this model on any board, so it is judged on pass@1 under the rule; models with a criterion score are judged on that instead."
work-apex-agents-glm52,below,below,relabel,Coordinator ruling 2026-09-13: Mercor criterion-level mean pass rate 0.522 of the human 1.0 baseline; the job is done at lower quality; kept as below.
work-apex-agents-gpt54,below,below,relabel,Coordinator ruling 2026-09-13: Mercor criterion-level mean pass rate 0.527 of the human 1.0 baseline; the job is done at lower quality; kept as below.
work-apex-agents-opus46,below,below,relabel,Coordinator ruling 2026-09-13: Mercor criterion-level mean pass rate 0.484 (within half a standard error of the 0.5 guide) of the human 1.0 baseline; the job is done at lower quality; kept as below.
work-apex-agents-gptoss120b,below,below,exclude,pass@1 3.1% against an expert-written gold arm passing by construction
agen-epoch-swebench-dsv4promax-1h4h,below,below,exclude,bin solve rate 36.6% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-dsv4promax-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gemini25pro-1h4h,below,below,exclude,bin solve rate 21.4% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gemini25pro-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gemini31pro-ct-1h4h,below,below,exclude,bin solve rate 40.5% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gemini31pro-ct-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gemini35flash-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.476 is within one standard error (0.077) of the 0.5 guide. bin solve rate 47.6% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gemini35flash-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gemini3flash-1h4h,below,below,exclude,bin solve rate 23.8% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gemini3flash-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gemini3pro-1h4h,below,below,exclude,bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gemini3pro-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-glm5-1h4h,below,below,exclude,bin solve rate 41.5% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-glm5-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-glm52max-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.452 is within one standard error (0.077) of the 0.5 guide. bin solve rate 45.2% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-glm52max-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt41-15m1h,below,below,exclude,bin solve rate 41.7% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt41-1h4h,below,below,exclude,bin solve rate 12.2% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt41-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt4o1120-lt15m,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.492 is within one standard error (0.037) of the 0.5 guide. bin solve rate 49.2% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt4o1120-15m1h,below,below,exclude,bin solve rate 22.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt4o1120-1h4h,below,below,exclude,bin solve rate 7.1% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt4o1120-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt51codex-1h4h,below,below,exclude,bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt51codex-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt51high-1h4h,below,below,exclude,bin solve rate 28.6% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt51high-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt52high-1h4h,below,below,exclude,bin solve rate 38.1% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt52high-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt53codex-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.476 is within one standard error (0.077) of the 0.5 guide. bin solve rate 47.6% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt53codex-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt54high-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt5high-1h4h,below,below,exclude,bin solve rate 35.7% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt5high-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-gpt5med-1h4h,below,below,exclude,bin solve rate 38.1% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt5med-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt5mini-1h4h,below,below,exclude,bin solve rate 16.7% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-gpt5mini-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-kimik25-1h4h,below,below,exclude,bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-kimik25-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-kimik26-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.452 is within one standard error (0.077) of the 0.5 guide. bin solve rate 45.2% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-kimik26-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-o3med-1h4h,below,below,exclude,bin solve rate 21.4% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-o3med-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-opus4-1h4h,below,below,exclude,bin solve rate 35.7% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-opus4-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-opus41-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.476 is within one standard error (0.077) of the 0.5 guide. bin solve rate 47.6% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-opus41-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-opus45-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.452 is within one standard error (0.077) of the 0.5 guide. bin solve rate 45.2% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-opus45-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-opus46-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.452 is within one standard error (0.077) of the 0.5 guide. bin solve rate 45.2% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-opus46-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-opus46cc-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-qwen37max-1h4h,below,below,exclude,bin solve rate 40.5% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-qwen37max-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-sonnet37-1h4h,below,below,exclude,bin solve rate 19.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-sonnet37-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-sonnet45-1h4h,below,below,exclude,bin solve rate 35.7% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-sonnet45-gt4h,below,below,exclude,bin solve rate 0.0% against a complete correct patch by a human given the bin's own time estimate
agen-epoch-swebench-sonnet46-1h4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.429 is within one standard error (0.076) of the 0.5 guide. bin solve rate 42.9% against a complete correct patch by a human given the bin's own time estimate"
agen-epoch-swebench-sonnet46-gt4h,below,below,relabel,"Coordinator ruling 2026-09-13, close call at the exclusion line: ratio 0.333 is within one standard error (0.272) of the 0.5 guide. bin solve rate 33.3% against a complete correct patch by a human given the bin's own time estimate"
