point_id,task,human_time,human_time_low,human_time_high,note,scenario_source,note_sentence
agen-codexfer-codex12b,Learn to write short Python functions (Codex-12B),684000,360000,1152000,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-codexfer-codex2p5b,Learn to write short Python functions (Codex-2.5B),540000,280800,900000,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-codexfer-codex300m,Learn to write short Python functions (Codex-300M),342000,183600,576000,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-codexfer-kotlin7b,Learn to write short Kotlin functions (CodeLlama-7B-Kexer),68400,36000,115200,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-codexfer-mplt-ocaml15b,Learn to write short OCaml functions (MultiPL-T StarCoderBase-15B OCaml),61200,32760,100800,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-codexfer-mplt-ocaml1b,Learn to write short OCaml functions (MultiPL-T StarCoderBase-1B OCaml),43200,22680,72000,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-codexfer-mplt-racket15b,Learn to write short Racket functions (MultiPL-T StarCoderBase-15B Racket),43200,22680,72000,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-epoch-swebench-gemini31pro-ct-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gemini35flash-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gemini3flash-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gemini3pro-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-glm5-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-glm52max-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gpt51codex-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gpt52high-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gpt53codex-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gpt54high-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-gpt5high-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-kimik25-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-opus4-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-opus41-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-opus45-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-opus46-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-opus46cc-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-opus47max-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-qwen37max-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-sonnet37-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-epoch-swebench-sonnet46-gt4h,Resolve a SWE-bench Verified issue (>4 hours bin),21600.0,14400,36000,research/epoch-swebench-bins.md,note_scenario,"Four to ten hours is the sensitivity, not a measured interval. At 4 hours the 32 top-bin rows move to 14,400 s and at 10 hours to 36,000 s."
agen-lumen-d1-gemini31pro,Automated systematic review/meta-analysis: antidepressants in dementia,4626067,4329020,12384000,research/lumen.md,reargued_2026-09-16,"The low is the regression at the Screened count with administration removed; the high stays at the Michelson and Reuter labour model, 3,440 hours."
agen-lumen-d2-gemini31pro,Automated systematic review/meta-analysis: CBT-I in depression,4582780,4055832,12384000,research/lumen.md,reargued_2026-09-16,"The low is the regression at the Screened count with administration removed; the high stays at the Michelson and Reuter labour model, 3,440 hours."
agen-lumen-d3-gemini31pro,Automated systematic review/meta-analysis: laparoscopic vs open cholecystectomy,4925952,4574910,12384000,research/lumen.md,reargued_2026-09-16,"The low is the regression at the Screened count with administration removed; the high stays at the Michelson and Reuter labour model, 3,440 hours."
agen-lumen-d4-gemini31pro,Automated systematic review/meta-analysis: pneumococcal vaccines,3256588,3067867,12384000,research/lumen.md,reargued_2026-09-16,"The low is the regression at the Screened count with administration removed; the high stays at the Michelson and Reuter labour model, 3,440 hours."
agen-lumen-d5-gemini31pro,Automated systematic review/meta-analysis: SGLT2i in heart failure,5267338,4769800,12384000,research/lumen.md,reargued_2026-09-16,"The low is the regression at the Screened count with administration removed; the high stays at the Michelson and Reuter labour model, 3,440 hours."
agen-mirrorcode-cal-c-opus46,Reimplement cal from its behavior alone,69151,39240,810360,research/mirrorcode.md,hand_written,"Exponent 1.2 gives cal 10.9 active hours and the test-count transfer gives 225.1; the cal rows' notes say lines of code is the weakest proxy for that target and one-sided downward there, and quote the 225-hour figure."
agen-mirrorcode-cal-py-opus46,Reimplement cal from its behavior alone,69151,39240,810360,research/mirrorcode.md,hand_written,"Exponent 1.2 gives cal 10.9 active hours and the test-count transfer gives 225.1; the cal rows' notes say lines of code is the weakest proxy for that target and one-sided downward there, and quote the 225-hour figure."
agen-mirrorcode-cal-rust-opus46,Reimplement cal from its behavior alone,69151,39240,810360,research/mirrorcode.md,hand_written,"Exponent 1.2 gives cal 10.9 active hours and the test-count transfer gives 225.1; the cal rows' notes say lines of code is the weakest proxy for that target and one-sided downward there, and quote the 225-hour figure."
agen-mirrorcode-choose-c-opus46,Reimplement choose from its behavior alone,65426,36720,117000,research/mirrorcode.md,hand_written,"Exponent 1.2 gives choose 10.2 active hours and exponent 0.8 gives 32.5; the choose rows quote the 20.9-hour test-count figure, which corroborates rather than contradicts."
agen-mirrorcode-choose-py-opus46,Reimplement choose from its behavior alone,65426,36720,117000,research/mirrorcode.md,hand_written,"Exponent 1.2 gives choose 10.2 active hours and exponent 0.8 gives 32.5; the choose rows quote the 20.9-hour test-count figure, which corroborates rather than contradicts."
agen-mirrorcode-choose-rust-opus46,Reimplement choose from its behavior alone,65426,36720,117000,research/mirrorcode.md,hand_written,"Exponent 1.2 gives choose 10.2 active hours and exponent 0.8 gives 32.5; the choose rows quote the 20.9-hour test-count figure, which corroborates rather than contradicts."
agen-mlebench-operand-insults,Build an insult-detection classifier,5400,3600,9000,research/mlebench/mlebench.md,reargued_2026-09-16,"A reusable linear-text template takes implementation to 15 minutes and the submission check to 15, 60 minutes; the benchmark's own two-hour definition plus a debugging round gives 150."
agen-village-claude37-first-own-site,Create and deploy a two-page personal website,9000,5340,13800,research/village-websites-remaining/village-websites-remaining.md,reargued_2026-09-16,Reusing a familiar stylesheet and card markup gives 89 minutes; a full styling and copy iteration with a deployment problem gives 230.
agen-village-gemini25-first-website,Build and deploy a static personal website,9000,5940,13500,research/village-expansion/village-expansion.md,reargued_2026-09-16,"A familiar responsive template takes layout to 25 minutes and checks to 12, 99 minutes; a full styling and copy iteration gives 225."
agen-village-gpt5-first-site,Build and deploy a simple personal website,2700,1500,5400,research/village-gpt5-first-site/gpt5-first-site.md,note_scenario,The 25-90-minute alternatives allow a developer with a familiar template/hosting workflow versus more layout and account setup friction.
agen-village-opus41-benefits-screener,Implement and deploy a benefits-screener prototype,28800,21300,42000,research/village-expansion/village-expansion.md,reargued_2026-09-16,"Reusable wizard components take state to 65 minutes, styling to 40 and integration to 50, 355 minutes; hand implementation with deployment trouble gives 700."
agen-village-opus41-connections-prototype,Implement a daily word-grouping game prototype,16200,7200,32400,research/village-expansion/village-expansion.md,note_scenario,A 2-9 hour sensitivity covers reusable code and slower implementation.
agen-village-web-opus41-first-deployment,Build and hand off a personal website,8400,4800,14400,research/agent-operations/village-websites.md,note_scenario,Plausible experienced-developer range 80-240 min.
agen-village-web-sonnet45-first-deployment,Build and hand off a personal website,10800,6000,18000,research/agent-operations/village-websites.md,note_scenario,Plausible experienced-developer range 100-300 min.
agen-work-agentcompany,Reconcile employee contact records,1200,720,2100,research/workplace-agents/workplace-agents.md,note_scenario,A 12-35-minute active scenario is reasonable.
agen-work-taubench-retail,Handle a retail support conversation,480,240,900,research/workplace-agents/workplace-agents.md,note_scenario,Use 4-15 minutes as a duration scenario.
code-copilot-cups-accepted-completion-2022,Accepted Copilot completion text,20,8,60,research/copilot-cups/copilot-cups.md,note_scenario,8-60 seconds spans an obvious partial-name completion through a longer fragment requiring additional thought.
code-function-duplicate-filter-gpt4o,Remove every repeated list value (GPT-4o),180,90,280,research/humaneval-functions/humaneval-functions.md,reargued_2026-09-16,"The low runs the four components at a fluent pace with two checks, 90 seconds; the high is the central plus one rewrite-and-retest cycle of 100 seconds."
code-function-parentheses-gpt4o,Check concatenated parentheses (GPT-4o),300,165,480,research/humaneval-functions/humaneval-functions.md,reargued_2026-09-16,"The low halves the reading and design components and trims the checks, 165 seconds; the high adds one implement-and-check cycle of 180 seconds to the central."
code-function-parentheses-qwen25coder7b,Check concatenated parentheses (Qwen Coder),300,165,480,research/humaneval-functions/humaneval-functions.md,reargued_2026-09-16,"The low halves the reading and design components and trims the checks, 165 seconds; the high adds one implement-and-check cycle of 180 seconds to the central."
code-function-prime-factor-gpt4o,Find the largest prime factor (GPT-4o),420,210,900,research/humaneval-functions/humaneval-functions.md,note_scenario,"420 seconds, plausible scenario 210-900 seconds."
coding-paper2env-apt-sonnet37,Implement a masked low-rank adapter,7200,5400,10800,research/paper2env.md,reargued_2026-09-16,No shape or merge-state errors gives 90 minutes; one full debug cycle on merge-and-unmerge consistency adds an hour to the central.
extr-2digitadd-gpt4o,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-gpt4omini,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-llama31-405b,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-llama31-8b,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-llama33-70b,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-o1,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-o1mini,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-o3mini,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-r1,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
extr-2digitadd-sonnet35,Add two integers below 100,6,5.61,8.92,research/cost-of-pass/cost-of-pass.md,argued_2026-09-17,"A carry-free half of the sample takes the low-anxiety mean to 5.964 x 0.941 = 5.61 s on Klein et al.'s 13.3% carry premium; the high-anxiety mean, 8.92 s, is the ceiling where the read-and-enter step is not offset."
game-atari-dqn,Learn elementary Frostbite play,120,60,180,research/games-memory/atari-learning.md,note_scenario,A reasonable reading/transfer range is 60-180 seconds.
game-atari-train-efficientzero,Learn elementary Frostbite play,120,60,180,research/games-memory/atari-learning.md,note_scenario,A reasonable reading/transfer range is 60-180 seconds.
game-balrog-crafter-claudeopus45,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-claudeopus45thinking,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-deepseekr1,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-gemini25flash,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-gemini25pro,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-gemini31pro,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-gemini31prothinking,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-gemini3flash,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-gemini3pro,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-gpt5minimal,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-grok4,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-rekaflash3,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-vlm-claude35sonnet,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-balrog-crafter-vlm-gemini25pro,Play one episode of Crafter,123.804,61.902,206.34,research/balrog.md,note_scenario,"Alternative scenarios. If the recordings used --fps 10, human_time halves to 61.9 s; at --fps 3 it rises to 206.3 s."
game-chess-alphazero,Select a chess move at championship strength,60,60,120,research/games-memory/chess.md,clock_convention_2026-09-17,"The match ran one minute a move for each side, so the own clock is 60 s and the whole elapsed move cycle is 60 + 60 = 120 s; the own clock is the central and a floor at world-class level, and full engagement on both clocks is the ceiling."
game-chess-move-arena-gemini25pro,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-gpt41,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-gpt5,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-grok4,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-o3,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-o4mini,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-opus4,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-r1,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-arena-sonnet4,Choose a chess move from a text board,7.1,4.356,10.892,research/game-arena.md,note_scenario,"Alternative time controls as scenarios ... 180+0 4.356, 300+3 10.892 mean own-clock seconds per move; the human axis moves by a factor of 2.5 across the plausible blitz range."
game-chess-move-gpt35,Choose a post-opening chess move,4.3,4.3,8.62,research/gpt35-chess/gpt35-chess.md,clock_convention_2026-09-17,"Barry's three-minute clock settles the control and 4.3100 s is the lowest of the four the donor covers for this bin, so the own-clock mean is a floor; both players are drawn from the same bin, so full engagement on both clocks is 2 x 4.3100 = 8.6200 s."
game-chess-move-maia,Select an ordinary online blitz chess move,7.1,4.5055,10.6315,research/games-memory/chess.md,argued_2026-09-17,"The same (1250,1525] bin's count-weighted own-clock mean is 4.5055 s at 180+0 and 10.6315 s at 300+3, against the 7.0904 s at 300+0 the central uses."
game-chess-train-maia1100,Learn chess to club strength: Maia 1100-bin network,4194142.6914750366,4024800,5198400,research/chess-learning/chess-learning.md,hand_written,"The low end is the lower of the Charness and Gobet readings and the high end the flat-100-point rating bridge, which raises the human hours by 24% to 35% at the Maia ratings and by 2.3x at 2895."
game-chess-train-maia1500,Learn chess to club strength: Maia 1500-bin network,4753385.76290614,4608000,6073200,research/chess-learning/chess-learning.md,hand_written,"The low end is the lower of the Charness and Gobet readings and the high end the flat-100-point rating bridge, which raises the human hours by 24% to 35% at the Maia ratings and by 2.3x at 2895."
