point_id,task,task_category,task_description,model_id,compute_scope,compute_flops,compute_flops_low,compute_flops_high,human_skill,human_time_scope,human_time,human_time_low,human_time_high,performance_vs_human,comparison_issues,compute_evidence,human_time_evidence,performance_evidence,human_time_statistic,human_time_subset,human_attempts,human_time_source,compute_method,compute_statistic,compute_subset,ai_attempts,compute_source,tokens,tokens_accounting,source_dataset,source_record,notes,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,attention_context,attention_ratio,task_id,frontier
agen-village-opus41-benefits-screener,Implement and deploy a benefits-screener prototype,coding,"Build and deploy a prototype React web app that screens users for benefit programs across six countries, from supplied program rules and UI sketches.",claude-opus-4-1,inference,3.2969833362700186e+18,2.1787148029452186e+18,5.030984933172419e+18,expert,task_performance,28800,21300,42000,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,Deployed and demonstrated the four-stage form with 12 program records; human time targets comparable prototype quality.,point_estimate,not_applicable,not_applicable,research/village-expansion/village-expansion.md#agen-village-opus41-benefits-screener,operation_count,total,all,1,research/village-expansion/village-expansion.md#agen-village-opus41-benefits-screener; research/attention-correction.md,2322974,input_cache_creation_output,AI Village,AI Village Claude Opus 4.1; five 2025-10-22 and four 2025-10-27 sessions in research/village-expansion/selection.json; endpoint 2025-10-27 18:23:01.604 UTC. First URL genuine-fudge-28f9aa.netlify.app; source map from same-day redeployment.,Rules are simplified and unvalidated; the observed first deployment was temporary. Same-day redeployment files substitute for the expired first URL. Includes estimated Codex/summaries; controller cache breakdown and text/image split are incomplete.,107.431237,list_price,2025-10-22,,not_available,200000.0,1.876,implement-and-deploy-a-benefits-screener-prototype,yes
game-chess-move-gpt35,Choose a post-opening chess move,games,"Choose one legal chess move partway through a game, given the moves so far.",gpt-3.5-turbo-instruct,inference,8162098181368.168,4084944739179.332,16991691977873.676,expert,task_performance,4.3,4.3,8.62,above,different_inputs_or_tools; different_assessment,derived_assumed_inputs,llm_estimate_from_data,"In a separate fast-blitz match, AI scored 8/10 against a player reporting about 1900 Lichess blitz: seven wins, two draws and one loss. This supports stronger play than the club-player baseline.",point_estimate,all,28621413,research/gpt35-chess/gpt35-chess.md#human-baseline,params_tokens,total_per_completed_sample,all,not_applicable,research/gpt35-chess/gpt35-chess.md#tokens-and-failed-work; research/attention-correction.md,338.8929982359809,input_output,Karvonen chess evaluation / Russek chess timings,https://github.com/adamkarvonen/chess_gpt_eval/blob/9c704987b2b45c363a22a2fedb6bbee8fd31c441/logs/games.csv; human match: https://lichess.org/study/LTNLQjQV; human timing: https://github.com/evanrussek/Thinking_Time_VOC_Chess/tree/0f21b31c05bec0494bc3c5da2e14c0be55fa345e,Output assumes the 10-token cap; retry locations are estimated within each game. Two malformed transcripts excluded. Human timing transfers 28.6M fast-blitz donor moves and omits opponent-turn thinking. Separate human match; PGN/board conditions differ. Size uses a weak 7B later-chat-model prior.,,not_available,,,not_available,169.446,0.003524,choose-a-post-opening-chess-move,yes
phys-openvla-corn-placement-demos,Place corn on a plate: selected OpenVLA demonstrations,physical_tasks,"Using a robot arm, pick up a toy corn and place it on a plate among other objects.",openvla-7b,inference,178368100270460.0,,,typical,task_performance,5,3,8,match,different_inputs_or_tools,derived_assumed_inputs,llm_estimate_from_data,"Both selected demonstrations complete the placement; human time targets comparable completed output. The separate task evaluation earned 9 fractional-credit points across 10 attempts, with full-success count unreported.",point_estimate,all,60,research/openvla/openvla.md#phys-openvla-corn-placement-demos,operation_count,mean,successful,2,research/openvla/openvla.md#phys-openvla-corn-placement-demos,935,input_output,OpenVLA,"research/openvla/openvla.md#phys-openvla-corn-placement-demos; performance: https://arxiv.org/html/2406.09246v3 Appendix B.1.1 and Table 4; https://openvla.github.io/ Sample OpenVLA Rollout Videos, Put Yellow Corn on Pink Plate","One frame per policy call is estimated from the recording loop; video speed labels conflict with its export rate. Native prompts are unavailable, so the released template and displayed instruction determine text length. Human calibration uses 60 healthy-adult cup-movement trials. Compute averages both published successful WidowX demonstration clips.",,not_available,,,not_available,,,place-corn-on-a-plate-selected-openvla-demonstrations,yes
agen-mlebench-operand-insults,Build an insult-detection classifier,coding,Build and validate a text classifier that flags insulting comments and produce predictions on a test set (target ~0.91 ROC-AUC).,gpt-5,inference,4.911315354814616e+16,2.309729627109579e+16,1.0731123287138456e+17,expert,task_performance,5400,3600,9000,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,Human time estimates reproducing the inspected validated classifier at comparable quality; the AI submission achieved 0.90942 ROC-AUC.,point_estimate,not_applicable,not_applicable,research/mlebench/mlebench.md#agen-mlebench-operand-insults,operation_count,total,all,1,research/mlebench/mlebench.md#agen-mlebench-operand-insults; research/attention-correction.md,138411,input_output,MLE-bench / Operand Quant,https://github.com/ramgorthi04/OperandLinear-MLE-Bench/tree/8bcb272c9611cc16c809a191135f696014895b0e/MLE_Submission/detecting-insults-in-social-commentary/detecting-insults-in-social-commentary-spray-20250909-024523; performance: competition_results.json; full_history.json; main.ipynb,"Prompt/IDE context and unexported reasoning are estimated; native usage is absent. Includes four reviewers, Gemini synthesis, an assumed separate coach and six classifier fits. Coach identity and call separation are unreported. Cache decomposition is unavailable; full-prefix processing assumed. Run by a frozen agent with expert-model review.",,not_available,,,not_available,69205.5,0.737,build-an-insult-detection-classifier,yes
lang-xfer-ja-swallow70b,Learn to read written Japanese to near-native comprehension (Swallow 70B),skill_acquisition,"Continue-train Llama 2 70B into Swallow 70B, reaching near-native comprehension of everyday written Japanese (five-choice accuracy up from 87% to 94%).",swallow-70b-base,additional_training,5e22,,,typical,skill_acquisition,1836000,,,match,different_inputs_or_tools,derived_assumed_inputs,llm_estimate_from_data,"AI: 86.9% before and 93.5% after continued training on 1,119 four-shot JCommonsenseQA development questions. Human: assumed learning transition to the same accuracy, not an observed learning outcome.",point_estimate,all,,research/skill-acquisition-human-time.md#lang-xfer-ja-swallow70b,operation_count,total,all,1,research/swallow/swallow.md#lang-xfer-ja-swallow70b,100000000000,training,Swallow continual pretraining; JCommonsenseQA,"https://arxiv.org/abs/2404.17790 Tables 2, 4 and Appendix D.4; performance: Table 4; https://github.com/yahoojapan/JGLUE/tree/v1.1.0/datasets/jcommonsenseqa-v1.1; reading-program context: https://www.readingmatrix.com/files/27-sld3j1b6.pdf Table 5","Human duration is an assumed targeted learning route; 20–200-hour scenarios. Human instruction, retrieval practice and feedback differ from AI corpus training. Benchmark decontamination is unverified. Associated evaluation and loss-monitoring workload is estimated; total is rounded to source precision.",,not_available,,,not_available,,,learn-to-read-written-japanese-to-near-native-comprehension-swallow-70b,yes
reas-strawberry-opus41,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,claude-opus-4-1,inference,56302040831919.71,25028859236086.58,112586437390389.25,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-opus41; research/attention-correction.md,156.28,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=Claude Opus 4.1; endpoint=anthropic/claude-opus-4.1; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.010641,list_price,2025-08-10,,not_available,78.14,0.000733,count-r-in-strawberry,no
reas-strawberry-sonnet4,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,claude-sonnet-4,inference,21977831868710.91,9891898435631.41,48344240077511.875,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-sonnet4; research/attention-correction.md,109.82,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=Claude Sonnet 4; endpoint=anthropic/claude-sonnet-4; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.001431,list_price,2025-08-10,,not_available,54.91,0.0006298,count-r-in-strawberry,no
reas-strawberry-gpt5-chat,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,gpt-5-chat,inference,10993215649382.398,4397733049498.88,27480843824358.4,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-gpt5-chat; research/attention-correction.md,54.95,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=GPT-5 Chat; endpoint=openai/gpt-5-chat; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.000401,list_price,2025-08-10,,not_available,27.475,0.0002926,count-r-in-strawberry,no
reas-strawberry-gpt5-mini,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,gpt-5-mini-2025-08-07,inference,6939590395615.668,3471020227389.645,10406440146121.78,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-gpt5-mini; research/attention-correction.md,173.21,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=GPT-5 Mini; endpoint=openai/gpt-5-mini; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.000318,list_price,2025-08-10,,not_available,86.605,0.001615,count-r-in-strawberry,no
reas-strawberry-gpt5-nano,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,gpt-5-nano,inference,7418636410237.747,2788493481410.5605,18524109906037.97,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-gpt5-nano; research/attention-correction.md,461.12,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=GPT-5 Nano; endpoint=openai/gpt-5-nano; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.000179,list_price,2025-08-10,,not_available,230.56,0.005519,count-r-in-strawberry,no
reas-strawberry-gemini25-flash,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,gemini-2.5-flash,inference,1389618622837.76,555865835674.9568,3057105612918.784,typical,task_performance,4,3,8,below,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 90/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-gemini25-flash; research/attention-correction.md,27.79,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=Gemini 2.5 Flash; endpoint=google/gemini-2.5-flash; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.000047,list_price,2025-08-10,,not_available,13.895,8.537e-05,count-r-in-strawberry,no
reas-strawberry-gemini25-pro,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,gemini-2.5-pro,inference,63835673466224.66,25540650636005.508,159560949892194.4,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-gemini25-pro; research/attention-correction.md,318.97,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=Gemini 2.5 Pro; endpoint=google/gemini-2.5-pro; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.003102,list_price,2025-08-10,,not_available,159.485,0.0006533,count-r-in-strawberry,no
reas-strawberry-kimi-k2,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,kimi-k2-instruct,inference,24894685240092.67,,,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-kimi-k2; research/attention-correction.md,386.07,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=Kimi K2; endpoint=moonshotai/kimi-k2; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.000911,list_price,2025-08-10,,not_available,193.035,0.007536,count-r-in-strawberry,no
reas-strawberry-gpt-oss120b,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,gpt-oss-120b,inference,2317864824576.0,,,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-gpt-oss120b; research/attention-correction.md,226.5,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=gpt-oss-120b; endpoint=openai/gpt-oss-120b; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.000100,list_price,2025-08-10,,not_available,113.25,0.003274,count-r-in-strawberry,no
reas-strawberry-gpt-oss20b,Count r in strawberry,mathematics_puzzles,Answer the question 'how many times does the letter r appear in strawberry'.,gpt-oss-20b,inference,1922373166844.3135,,,typical,task_performance,4,3,8,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,The AI gave the correct count of 3 in 100/100 calls. The assumed human baseline is a literate adult who can count the three occurrences reliably.,point_estimate,not_applicable,not_applicable,research/strawberry/strawberry.md#human-time,params_tokens,mean,all,100,research/strawberry/strawberry.md#reas-strawberry-gpt-oss20b; research/attention-correction.md,266.03,input_output,Max Woolf strawberry letter-count experiment (2025),https://huggingface.co/datasets/minimaxir/llm-strawberry/tree/a0319935ae3810b66a207266ec67f9f41afe6972; strawberry.parquet; model=gpt-oss-20b; endpoint=openai/gpt-oss-20b; calls on 2025-08-10; performance: returned count independently rechecked against all responses,Cache counts were not exported; full prompt counts are used. Accuracy concerns this one fixed question; human time covers a brief count answer.,0.000042,list_price,2025-08-10,,not_available,133.015,0.003632,count-r-in-strawberry,yes
reas-math-minerva62b-greedy,Solve a MATH problem: Minerva 62B greedy,mathematics_puzzles,"Solve one MATH competition problem, given four worked examples, in a single attempt.",minerva-62b,inference,216301813339136.0,,,expert,task_performance,180,90,180,below,different_assessment; different_inputs_or_tools,derived_assumed_inputs,llm_estimate_judgment,"AI: 27.6% final-answer accuracy on 5,000 MATH test questions. Human: 8/20 correct in the original no-calculator assessment; allotted 60 minutes. Greedy performance is estimated below this baseline.",point_estimate,not_applicable,not_applicable,research/minerva/minerva.md#reas-math-minerva62b-greedy,params_tokens,point_estimate,not_applicable,not_applicable,research/minerva/minerva.md#reas-math-minerva62b-greedy; research/attention-correction.md,1706,decoder_processed,Minerva; MATH,"https://arxiv.org/abs/2206.14858v2 Tables2–3, AppendixD.2; https://minerva-demo.github.io/ original source-map examples; performance: https://arxiv.org/abs/2103.03874 §3.1 and AppendixA.6; execution estimate: https://github.com/google-research/t5x/tree/357ba009224caabd9694edb1bad233e75e1f0989",Processed positions assume the contemporary T5X padded prefill and one response per question. Response lengths transfer from selected 540B gallery outputs using a proxy tokenizer.,,not_available,,,not_available,853.0,0.01431,solve-a-math-problem-minerva-62b-greedy,no
reas-math-minerva62b-majority256,Solve a MATH problem: Minerva 62B majority of 256,mathematics_puzzles,"Solve one MATH competition problem, given four worked examples, taking the majority answer over 256 attempts.",minerva-62b,inference,9932749473225112.0,,,expert,task_performance,180,90,180,match,different_assessment; different_inputs_or_tools,derived_assumed_inputs,llm_estimate_judgment,"AI: 43.4% final-answer accuracy on 5,000 MATH test questions. Human: 8/20 correct in the original no-calculator assessment; allotted 60 minutes. Majority-256 performance is broadly comparable to this baseline.",point_estimate,not_applicable,not_applicable,research/minerva/minerva.md#reas-math-minerva62b-majority256,params_tokens,point_estimate,not_applicable,not_applicable,research/minerva/minerva.md#reas-math-minerva62b-majority256; research/attention-correction.md,79255.89333333333,decoder_processed,Minerva; MATH,"https://arxiv.org/abs/2206.14858v2 Tables2–3, AppendixD.2; https://minerva-demo.github.io/ original source-map examples; performance: https://arxiv.org/abs/2103.03874 §3.1 and AppendixA.6; execution estimate: https://github.com/google-research/t5x/tree/357ba009224caabd9694edb1bad233e75e1f0989",Processed positions assume the contemporary T5X padded prefill and shared cache with all branches running to an estimated longest response. Response lengths transfer from selected 540B gallery outputs using a proxy tokenizer.,,not_available,,,not_available,155.0,0.0026,solve-a-math-problem-minerva-62b-majority-of-256,yes
memo-ruler-passkey-4096-llama31-8b,Retrieve a passkey from 4K context,memory_recall,"Find a seven-digit number tied to a named key, buried in a short (4K-token) wall of filler text.",llama-3.1-8b-instruct,inference,55181288452890.625,,,typical,task_performance,10,5,25,match,different_inputs_or_tools,derived_assumed_inputs,llm_estimate_judgment,The AI retrieved the target number in 500/500 source examples. The assumed human target is reliable correct retrieval of the same seven-digit value using document search.,point_estimate,not_applicable,not_applicable,research/ruler/ruler.md#human-time,operation_count,point_estimate,not_applicable,not_applicable,research/ruler/ruler.md#memo-ruler-passkey-4096-llama31-8b,3693.526,input_output,RULER passkey retrieval (2024),"https://arxiv.org/html/2404.06654v3; Appendix A model identity; Appendix D Table 6 wrapper; performance: Appendix E Table 10, Llama3.1 (8B), 4K; niah_single_1; historical generator dbc6a83c2f60d034dfaab8e7af42dde1a5d2e3dc","Input lengths are reconstructed from the historical generator, not run logs. Six output tokens are assumed; 128 is the source cap. Causal attention and generation KV reuse are counted.",,not_available,,,not_available,,,retrieve-a-passkey-from-4k-context,yes
memo-ruler-passkey-131072-llama31-8b,Retrieve a passkey from 128K context,memory_recall,"Find a seven-digit number tied to a named key, buried in a long (128K-token) wall of filler text.",llama-3.1-8b-instruct,inference,6371559777089753.0,,,typical,task_performance,10,5,25,match,different_inputs_or_tools,derived_assumed_inputs,llm_estimate_judgment,The AI retrieved the target number in 500/500 source examples. The assumed human target is reliable correct retrieval of the same seven-digit value using document search.,point_estimate,not_applicable,not_applicable,research/ruler/ruler.md#human-time,operation_count,point_estimate,not_applicable,not_applicable,research/ruler/ruler.md#memo-ruler-passkey-131072-llama31-8b,130893.424,input_output,RULER passkey retrieval (2024),"https://arxiv.org/html/2404.06654v3; Appendix A model identity; Appendix D Table 6 wrapper; performance: Appendix E Table 10, Llama3.1 (8B), 128K; niah_single_1; historical generator dbc6a83c2f60d034dfaab8e7af42dde1a5d2e3dc","Input lengths are reconstructed from the historical generator, not run logs. Six output tokens are assumed; 128 is the source cap. Causal attention and generation KV reuse are counted.",,not_available,,,not_available,,,retrieve-a-passkey-from-128k-context,yes
reas-lean-minif2f-deepseekprov2-cot32,Construct a Lean proof: DeepSeek-Prover-V2 CoT32,mathematics_puzzles,"Write a machine-checked Lean 4 proof for one competition-math theorem (MiniF2F), drawing on 32 reasoning samples.",deepseek-prover-v2-671b,inference,2.0455692947104816e+16,,,expert,task_performance,3600,2160,5280,match,none_identified,derived_assumed_inputs,llm_estimate_from_data,"AI verified at least one proof on 82.4% of test theorems with 32 samples. Human effort is estimated for approximately this completion level, so comparable performance is assumed rather than measured.",point_estimate,all,21,research/deepseek-prover-v2/deepseek-prover-v2.md#reas-lean-minif2f-deepseekprov2-cot32,params_tokens,point_estimate,not_applicable,not_applicable,research/deepseek-prover-v2/deepseek-prover-v2.md#reas-lean-minif2f-deepseekprov2-cot32; research/attention-correction.md,223645.19344262293,input_output,DeepSeek-Prover-V2; MiniF2F,https://arxiv.org/abs/2504.21801v1 Tables 1 and 3; https://github.com/deepseek-ai/DeepSeek-Prover-V2/tree/e598a57ea3284997d4a2a168a069fdd5064afbc8; human timing donor: https://arxiv.org/abs/2606.04273v1 Figure 9,"Token mean is reported without success filtering specified; central treats it as all-attempt generation. Separate compact prefills follow predecessor sampling code. Twenty-seven input statements use predecessor length proxies. Human duration uses a difficulty-weighted transfer from 21 unaided Lean sessions, not a matched human test.",,not_available,,,not_available,3495.0,0.236,construct-a-lean-proof-deepseek-prover-v2-cot32,yes
reas-gsm8k-qwen25math15b-batched,Solve a GSM8K question: Qwen2.5-Math 1.5B batched,mathematics_puzzles,"Solve one grade-school math word problem with a single step-by-step answer, no tools.",qwen2.5-math-1.5b-instruct,inference,2111679352735.7332,,,typical,task_performance,60,30,90,match,different_assessment; different_inputs_or_tools,derived_assumed_inputs,llm_estimate_from_data,"AI: 1,130/1,319 correct numerical answers (85.67%). Human: 84% correct on a separate random 50-question GSM8K sample. Broadly comparable performance.",point_estimate,all,,research/qwen-gsm8k/qwen-gsm8k.md#reas-gsm8k-qwen25math15b-batched,operation_count,mean,all,1319,research/qwen-gsm8k/qwen-gsm8k.md#reas-gsm8k-qwen25math15b-batched,697.5117513267627,decoder_processed,DrEternity GSM8K evaluation; GSM-Identity human study,"https://github.com/DrEternity/gsm8k-post-training/tree/bf15b2dbbd2f493b65c855e41180082f7acfa353; human: https://doi.org/10.1007/s10994-026-07029-7 §6, Figure5b and Table8","Source tensor widths count padding, not natural response lengths. Default512 batching and original test order are reconstructed. Human timing transfers a common five-question batch median; its contributing sample count is unspecified. Human assessment uses50 questions and permits calculators; AI has no tools. Compute includes padded batch execution.",,not_available,,,not_available,,,solve-a-gsm8k-question-qwen2-5-math-1-5b-batched,yes
short-one-plus-one-gpt-5,Answer 1+1: GPT-5 high,mathematics_puzzles,Answer 'how much is 1+1?' correctly and briefly.,gpt-5,inference,39321078659481.6,15734139027537.92,98274652563865.6,typical,task_performance,3,2,6,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,AI answered 2 in 5/5 recorded attempts. Human time targets the same correct brief answer.,point_estimate,not_applicable,not_applicable,research/lrm-token-economy/lrm-token-economy.md#human-time,params_tokens,mean,all,5,research/lrm-token-economy/lrm-token-economy.md#short-one-plus-one-gpt-5; research/attention-correction.md,196.4,input_output,LRM Token Economy,https://github.com/cpldcpu/LRMTokenEconomy/tree/11c9a66fb6c8745f765a176c3e2651e235c759b9; one_plus_one; 2025-08-23T09:41:20.158834,Input tokens are reconstructed with seven assumed message-framing positions; native completion counts already include reasoning. The five attempts repeat one fixed question.,0.001734,list_price,2025-08-23,,not_available,98.2,0.001046,answer-1-1-gpt-5-high,yes
short-bridge-torch-easy-10m-gpt-5,Solve a four-person bridge question: GPT-5 high,mathematics_puzzles,"Solve the bridge-and-torch puzzle: four people cross in 1, 3, 5 and 10 minutes sharing one torch; give a plan getting everyone across within ten minutes.",gpt-5,inference,522307933386342.4,209905208329850.88,1300944609711718.5,typical,task_performance,25,12,60,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,AI proposed all four crossing together in ten minutes in 5/5 recorded attempts. Human time targets the same correct brief answer.,point_estimate,not_applicable,not_applicable,research/lrm-token-economy/lrm-token-economy.md#human-time,params_tokens,mean,all,5,research/lrm-token-economy/lrm-token-economy.md#short-bridge-torch-easy-10m-gpt-5; research/attention-correction.md,2576.2,input_output,LRM Token Economy,https://github.com/cpldcpu/LRMTokenEconomy/tree/11c9a66fb6c8745f765a176c3e2651e235c759b9; bridge_torch_easy_10m; 2025-08-23T09:43:39.719628,Input tokens are reconstructed with seven assumed message-framing positions; native completion counts already include reasoning. The five attempts repeat one fixed question.,0.024892,list_price,2025-08-23,,not_available,1288.1,0.01372,solve-a-four-person-bridge-question-gpt-5-high,yes
short-one-plus-one-o3-mini-high,Answer 1+1: o3-mini high,mathematics_puzzles,Answer 'how much is 1+1?' correctly and briefly.,o3-mini-2025-01-31,inference,5863994322616.32,2932872311930.88,8793887281643.52,typical,task_performance,3,2,6,match,none_identified,derived_assumed_inputs,llm_estimate_judgment,AI answered 2 in 5/5 recorded attempts. Human time targets the same correct brief answer.,point_estimate,not_applicable,not_applicable,research/lrm-token-economy/lrm-token-economy.md#human-time,params_tokens,mean,all,5,research/lrm-token-economy/lrm-token-economy.md#short-one-plus-one-o3-mini-high; research/attention-correction.md,146.4,input_output,LRM Token Economy,https://github.com/cpldcpu/LRMTokenEconomy/tree/11c9a66fb6c8745f765a176c3e2651e235c759b9; one_plus_one; 2025-07-23T07:11:50.257047,Input tokens are reconstructed with seven assumed message-framing positions; native completion counts already include reasoning. The five attempts repeat one fixed question.,0.000543,list_price,2025-07-23,,not_available,73.2,0.001365,answer-1-1-o3-mini-high,yes
